model_id,architecture,training_parent,simulated_phase,temperature_K,planned_chemical_replicas,eligible_chemical_replicas,status,ci_method,temperature_K_mean,temperature_K_mean_sd,temperature_K_mean_ci95_low,temperature_K_mean_ci95_high,pressure_GPa_mean,pressure_GPa_mean_sd,pressure_GPa_mean_ci95_low,pressure_GPa_mean_ci95_high,volume_A3_per_atom_mean,volume_A3_per_atom_mean_sd,volume_A3_per_atom_mean_ci95_low,volume_A3_per_atom_mean_ci95_high
DPA2__bcc_parent,DPA2,bcc,bcc,300,3,3,eligible,"two-sided Student-t, df=2",300.3262663333333,0.18899803982144106,299.8567691751483,300.7957634915183,-0.00017637651736666652,0.0011481215558352023,-0.0030284685719976154,0.002675715537264282,19.191329616666668,0.003779380408987206,19.1819411152653,19.200718118068036
DPA2__bcc_parent,DPA2,bcc,bcc,600,3,3,eligible,"two-sided Student-t, df=2",600.1514853333333,0.35404109718553045,599.2719984922722,601.0309721743944,-0.0013636090493333332,0.001239397289929573,-0.004442442597204331,0.001715224498537664,19.337444333333334,0.0033757261168259477,19.329058564781672,19.345830101884996
DPA2__bcc_parent,DPA2,bcc,bcc,900,3,3,eligible,"two-sided Student-t, df=2",899.6648126666665,0.5473590277654498,898.3050974638762,901.0245278694568,0.0011772564312600006,0.0022232700838150177,-0.004345652627558906,0.006700165490078907,19.496041700000003,0.004059889507119559,19.485956375369447,19.50612702463056
DPA2__bcc_parent,DPA2,bcc,bcc,1200,3,3,eligible,"two-sided Student-t, df=2",1199.6158999999998,0.5882663502190421,1198.154565374812,1201.0772346251877,-0.001405427419066667,0.001466213624078303,-0.005047703976258679,0.0022368491381253445,19.670040216666667,0.004000158728204312,19.660103271516572,19.679977161816762
DPA3__bcc_parent,DPA3,bcc,bcc,300,3,3,eligible,"two-sided Student-t, df=2",299.88426899999996,0.1814959625583994,299.43340803486126,300.33512996513866,0.00024524715683333346,0.0006159436552869487,-0.0012848417056358645,0.0017753360193025315,19.247315866666668,0.0069706879675438035,19.229999717808997,19.264632015524338
DPA3__bcc_parent,DPA3,bcc,bcc,600,3,3,eligible,"two-sided Student-t, df=2",600.0714163333333,0.48943259726168276,598.85559836107,601.2872343055967,-7.025047400000038e-05,0.0010732689032814952,-0.002736398231590748,0.0025958972835907475,19.391604683333334,0.007294297975531921,19.37348464265089,19.409724724015778
DPA3__bcc_parent,DPA3,bcc,bcc,900,3,3,eligible,"two-sided Student-t, df=2",899.764094,1.2007895331272445,896.7811674367714,902.7470205632286,-0.00019611202400000014,0.0013266183148500264,-0.0034916146091415598,0.00309939056114156,19.5437309,0.008609068946754157,19.522344787165505,19.565117012834495
DPA3__bcc_parent,DPA3,bcc,bcc,1200,3,3,eligible,"two-sided Student-t, df=2",1199.7197366666667,0.6634571264470664,1198.071617798668,1201.3678555346653,-0.00038675278133333345,0.0013569261439258732,-0.003757544187646319,0.0029840386249796523,19.702735866666668,0.007933170651499127,19.683028778276785,19.72244295505655
DPA4__bcc_parent,DPA4,bcc,bcc,300,3,3,eligible,"two-sided Student-t, df=2",300.02296666666666,0.29069833649565485,299.30083196620757,300.74510136712576,0.0004210028897666662,0.0006888245115635167,-0.0012901320562506188,0.0021321378357839513,19.088450583333334,0.0026927477074245483,19.08176142720484,19.09513973946183
DPA4__bcc_parent,DPA4,bcc,bcc,600,3,3,eligible,"two-sided Student-t, df=2",599.5303156666666,0.5018418777866203,598.2836713326744,600.7769600006588,0.0005055398093000003,0.001485479550729369,-0.0031845959628395404,0.004195675581439541,19.2841426,0.0025362318565159735,19.27784225079925,19.29044294920075
DPA4__bcc_parent,DPA4,bcc,bcc,900,3,3,eligible,"two-sided Student-t, df=2",900.2662916666667,0.6285392732394081,898.7049135546378,901.8276697786956,-0.0014685255927000002,0.0021474340777464804,-0.006803047568928441,0.003865996383528441,19.504814533333334,0.003189094394310206,19.4968923836818,19.51273668298487
DPA4__bcc_parent,DPA4,bcc,bcc,1200,3,3,eligible,"two-sided Student-t, df=2",1200.58094,1.5543861531807686,1196.719630738116,1204.4422492618842,-0.0006643568768666667,0.00555224055966762,-0.014456887036365468,0.013128173282632133,19.7520115,0.00343483269461641,19.74347890256943,19.760544097430568
DPA4__fcc_parent,DPA4,fcc,fcc,300,3,3,eligible,"two-sided Student-t, df=2",299.929373,0.014632778375966772,299.89302316340724,299.96572283659276,-0.0001698205559333338,0.00043208995928735954,-0.0012431915187080954,0.0009035504068414278,19.33001425,0.01109547271232799,19.302451567804574,19.35757693219543
DPA4__fcc_parent,DPA4,fcc,fcc,600,3,3,eligible,"two-sided Student-t, df=2",600.215369,0.39905992600487883,599.2240491885257,601.2066888114744,-0.0005329230420666668,0.0005223032393556243,-0.0018303962159681273,0.0007645501318347936,19.5423323,0.011106842320276209,19.5147413741327,19.569923225867303
DPA4__fcc_parent,DPA4,fcc,fcc,900,3,3,eligible,"two-sided Student-t, df=2",900.1139613333334,0.8321609365889331,898.0467589684296,902.1811636982371,0.00011111314140666686,0.0003179367237496367,-0.000678685464039855,0.0009009117468531888,19.79550308333333,0.005685246637644028,19.781380147759624,19.809626018907036
DPA4__fcc_parent,DPA4,fcc,fcc,1200,3,0,blocked_incomplete_a21_group,"two-sided Student-t, df=2",,,,,,,,,,,,
