task_id,calculation,model_id,architecture,training_parent,phase,chemical_seed,natoms,dominant_structure,fraction_unknown,fraction_bcc,fraction_fcc,fraction_hcp,fraction_ico,status,energy_eV_per_atom,volume_A3_per_atom,density_g_cm3,max_force_eV_per_A,pressure_error_GPa,stress_gate_field,max_stress_error_GPa,relax_cycles,lammps_return_code,failure_reason,training_relation,eligible,eligibility_reason
relax_iso_coupled__DPA2__bcc_parent__bcc_n2000_seed20260825,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,bcc,20260825,2000,bcc,0.021,0.979,0.0,0.0,0.0,passed,-9.74331208170897,19.0622882928887,10.3571544276757,0.0050924108363688,0.0349207313215222,max_deviatoric_stress_GPa,0.093670190123178,1,,,phase_native,true,
relax_iso_coupled__DPA2__bcc_parent__bcc_n2000_seed20261834,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,bcc,20261834,2000,bcc,0.0165,0.9835,0.0,0.0,0.0,passed,-9.74554524768836,19.0645986459087,10.355899290683,0.00128050704370253,0.0132940035379894,max_deviatoric_stress_GPa,0.0709506154391746,1,,,phase_native,true,
relax_iso_coupled__DPA2__bcc_parent__bcc_n2000_seed20262843,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,bcc,20262843,2000,bcc,0.023,0.977,0.0,0.0,0.0,passed,-9.74427173097379,19.0643390680152,10.3560402954413,0.00217424333095551,0.0120950394805914,max_deviatoric_stress_GPa,0.120832158072659,2,,,phase_native,true,
relax_iso_coupled__DPA2__bcc_parent__bcc_n2000_seed20263852,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,bcc,20263852,2000,bcc,0.027,0.973,0.0,0.0,0.0,passed,-9.74319446198589,19.0779361985445,10.3486593905994,0.0015341192483902,0.0224781528929403,max_deviatoric_stress_GPa,0.0570855930356686,2,,,phase_native,true,
relax_iso_coupled__DPA2__bcc_parent__bcc_n2000_seed20264861,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,bcc,20264861,2000,bcc,0.0235,0.9765,0.0,0.0,0.0,passed,-9.74260897664673,19.0749086230439,10.3503019330751,0.00062321312725544,0.0275962653183991,max_deviatoric_stress_GPa,0.139822275328235,1,,,phase_native,true,
relax_iso_coupled__DPA2__bcc_parent__fcc_n2000_seed20260825,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,fcc,20260825,2000,unknown,0.911,0.056,0.033,0.0,0.0,failed_validation,-9.68236081556923,19.2529355417188,10.2545953663281,0.00339072942733765,0.0145561948133531,max_deviatoric_stress_GPa,0.138574429674391,3,,,reciprocal_alarm,false,
relax_iso_coupled__DPA2__bcc_parent__fcc_n2000_seed20261834,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,fcc,20261834,2000,,,,,,,failed,,19.270837454063354,,0.0021490752696991,0.000368717527177655,max_deviatoric_stress_GPa,0.261538980008586,12,2,ERROR: final maximum deviatoric stress 0.261539045336065 GPa exceeds 0.20 GPa after 12 coupled cycles,reciprocal_alarm,false,ERROR: final maximum deviatoric stress 0.261539045336065 GPa exceeds 0.20 GPa after 12 coupled cycles
relax_iso_coupled__DPA2__bcc_parent__fcc_n2000_seed20262843,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,fcc,20262843,2000,,,,,,,failed,,19.261341826653144,,0.00157017260789871,2.87204583362525e-05,max_deviatoric_stress_GPa,0.313618758606848,12,2,ERROR: final maximum deviatoric stress 0.313618811109658 GPa exceeds 0.20 GPa after 12 coupled cycles,reciprocal_alarm,false,ERROR: final maximum deviatoric stress 0.313618811109658 GPa exceeds 0.20 GPa after 12 coupled cycles
relax_iso_coupled__DPA2__bcc_parent__fcc_n2000_seed20263852,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,fcc,20263852,2000,,,,,,,failed,,19.291416144981493,,0.00233389809727669,2.63320684138237e-05,max_deviatoric_stress_GPa,0.220002084686161,12,2,ERROR: final maximum deviatoric stress 0.22000196655972 GPa exceeds 0.20 GPa after 12 coupled cycles,reciprocal_alarm,false,ERROR: final maximum deviatoric stress 0.22000196655972 GPa exceeds 0.20 GPa after 12 coupled cycles
relax_iso_coupled__DPA2__bcc_parent__fcc_n2000_seed20264861,relax_iso_coupled,DPA2__bcc_parent,DPA2,bcc,fcc,20264861,2000,,,,,,,failed,,19.288698976989227,,0.00107148289680481,0.00010669223560784,max_deviatoric_stress_GPa,0.310192940227552,12,2,ERROR: final maximum deviatoric stress 0.310192714130536 GPa exceeds 0.20 GPa after 12 coupled cycles,reciprocal_alarm,false,ERROR: final maximum deviatoric stress 0.310192714130536 GPa exceeds 0.20 GPa after 12 coupled cycles
