parent_family,parent_directory,structure,pocc_index,hnf_group,configuration_index,auid,aurl,compound,species,species_pp,composition,natoms,energy_atom_ev,enthalpy_atom_ev,pearson_symbol_relax,spacegroup_relax,aflow_version,aflowlib_version
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_01_H0C0,1,0,0,s4e:5088faa95511c81f,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_01_H0C0,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.65677,-9.65677,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_02_H0C1,2,0,1,s4e:358274a643876903,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_02_H0C1,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.64078,-9.64078,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_03_H0C2,3,0,2,s4e:81bb111be18ba5d6,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_03_H0C2,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.63422,-9.63422,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_04_H0C3,4,0,3,s4e:3200601796c895b8,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_04_H0C3,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.63304,-9.63304,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_05_H0C4,5,0,4,s4e:20b78c36546a8d38,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_05_H0C4,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.57321,-9.57321,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_06_H0C5,6,0,5,s4e:8ea71abde5c8c84c,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_06_H0C5,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.57664,-9.57664,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_07_H0C6,7,0,6,s4e:f4c7a60831ebb3b7,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_07_H0C6,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.68133,-9.68133,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_08_H0C7,8,0,7,s4e:4144c93d1c51806e,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_08_H0C7,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.6349,-9.6349,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_09_H0C8,9,0,8,s4e:03385c7fcf441bbd,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_09_H0C8,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.62928,-9.62928,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_10_H0C10,10,0,10,s4e:5640e2bf7c7af62d,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_10_H0C10,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.62141,-9.62141,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_11_H0C12,11,0,12,s4e:2ca9c648b63a6445,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_11_H0C12,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.67446,-9.67446,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
fcc,A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE,POCC_12_H0C14,12,0,14,s4e:afef6dcb15892410,s4e.ai:AFLOWDATA/LIB5_WEB/Hf_pvMo_pvTa_pvTi_svZr_sv:PAW_PBE/A_cF4_225_a.A:POCC_P0-0.2xA-0.2xB-0.2xC-0.2xD-0.2xE/ARUN.POCC_12_H0C14,Hf1Mo1Ta1Ti1Zr1,Hf Mo Ta Ti Zr,Hf_pv Mo_pv Ta_pv Ti_sv Zr_sv,1 1 1 1 1,5,-9.64556,-9.64556,hR5,160,aflow3.2.14.s4e.1.0,3.2.14.s4e.1.0
