association_type,architecture,fold,comparison_or_regime,systems,spearman_rho,nominal_p_value,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
distance_vs_error,DPA2,fcc_to_bcc,pure,42,-0.6744186046511628,9.729495881806358e-07,-0.8359183070274436,-0.4091826628224338,10000
distance_vs_error,DPA2,fcc_to_bcc,pure_pocc_seed,42,0.22486022202414718,0.15223212096155705,-0.1457636747281285,0.5237190197716514,10000
distance_vs_error,DPA2,fcc_to_bcc,pure_pocc_aimd,42,0.5467142046835751,0.00017964911529108428,0.2243740874487627,0.7408643281517051,10000
coverage_reduction_vs_error_reduction,DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,42,-0.6310114798993705,7.465877720946024e-06,-0.8192833769354828,-0.33582579528508144,10000
coverage_reduction_vs_error_reduction,DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,42,-0.4974475326148611,0.0008031909809775947,-0.7347101653351678,-0.17037468225756372,10000
distance_vs_error,DPA2,bcc_to_fcc,pure,41,-0.5660278745644601,0.00011472868336192577,-0.7680231636985988,-0.2558946891369109,10000
distance_vs_error,DPA2,bcc_to_fcc,pure_pocc_seed,41,-0.5480836236933799,0.0002076878229460471,-0.7267265845971251,-0.29445143167056037,10000
distance_vs_error,DPA2,bcc_to_fcc,pure_pocc_aimd,41,0.6486062717770036,4.516816908679261e-06,0.3977463660701732,0.7968768063561539,10000
coverage_reduction_vs_error_reduction,DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,41,-0.6742160278745645,1.3469434868623276e-06,-0.7962460937080141,-0.47397099104730056,10000
coverage_reduction_vs_error_reduction,DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,41,-0.11114982578397214,0.48903479847549464,-0.4906658302748893,0.24969606740018732,10000
distance_vs_error,DPA3,fcc_to_bcc,pure,42,-0.32987602301272184,0.03288825740471695,-0.602471809718734,0.058062134013032105,10000
distance_vs_error,DPA3,fcc_to_bcc,pure_pocc_seed,42,0.3585608945790455,0.019714294216330894,-0.037459244724580947,0.6369873838882231,10000
distance_vs_error,DPA3,fcc_to_bcc,pure_pocc_aimd,42,0.4861032331253545,0.0010994554676333962,0.11343829537441551,0.7438617323768568,10000
coverage_reduction_vs_error_reduction,DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,42,-0.12188796482312732,0.4419175195955051,-0.4407286470758596,0.2340951591291869,10000
coverage_reduction_vs_error_reduction,DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,42,0.48351025038489587,0.0011794901764633965,0.1503698570562852,0.738509889686979,10000
distance_vs_error,DPA3,bcc_to_fcc,pure,41,-0.03379790940766551,0.833839844568315,-0.36171375063483996,0.32227518046986786,10000
distance_vs_error,DPA3,bcc_to_fcc,pure_pocc_seed,41,-0.3627177700348433,0.019769237942428998,-0.6373314382290456,-0.03902455481614903,10000
distance_vs_error,DPA3,bcc_to_fcc,pure_pocc_aimd,41,0.6442508710801395,5.487581757090506e-06,0.3921920509737529,0.7926028771340118,10000
coverage_reduction_vs_error_reduction,DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,41,-0.406445993031359,0.008365323539942885,-0.6276719410681588,-0.09430032756924814,10000
coverage_reduction_vs_error_reduction,DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,41,0.7653310104529618,5.617758354007687e-09,0.5496696528570798,0.8753412861033967,10000
distance_vs_error,DPA4,fcc_to_bcc,pure,42,-0.2929260189611863,0.05975229043894983,-0.5604709108292741,0.09882380865891936,10000
distance_vs_error,DPA4,fcc_to_bcc,pure_pocc_seed,42,0.32857953164249254,0.033623355148072895,-0.03990703516923488,0.574819811611604,10000
distance_vs_error,DPA4,fcc_to_bcc,pure_pocc_aimd,42,0.43148853415444455,0.004329528321392751,0.060136769203949385,0.6662416774592954,10000
coverage_reduction_vs_error_reduction,DPA4,fcc_to_bcc,pure_pocc_seed_vs_pure,42,-0.40361703321670306,0.008034539398189893,-0.6487532825238028,-0.054378054698555355,10000
coverage_reduction_vs_error_reduction,DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure,42,-0.0028360748723766306,0.9857782981979718,-0.3661928942301501,0.37454613487795385,10000
distance_vs_error,DPA4,bcc_to_fcc,pure,41,0.5261324041811848,0.00041069182494121443,0.21659217581978332,0.7301649705707068,10000
distance_vs_error,DPA4,bcc_to_fcc,pure_pocc_seed,41,-0.45557491289198615,0.0027610140246164963,-0.6864240964785772,-0.16319998051642368,10000
distance_vs_error,DPA4,bcc_to_fcc,pure_pocc_aimd,41,0.6050522648083625,2.7835850625715695e-05,0.31871384054741775,0.7792964391016917,10000
coverage_reduction_vs_error_reduction,DPA4,bcc_to_fcc,pure_pocc_seed_vs_pure,41,-0.6066202090592335,2.619313802935196e-05,-0.7568684326760431,-0.36961024761417566,10000
coverage_reduction_vs_error_reduction,DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure,41,0.55801393728223,0.00015017580044526146,0.2550421023930199,0.7524669092570969,10000
