architecture,fold,regime,system_id,parent_family,structure,hnf_group,coverage_distance_median,coverage_distance_p90,force_component_rmse_ev_a
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_01_H0C0,0.0,3.768064438661612,4.386272633123618,1.3959716064901988
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_02_H0C1,0.0,3.7020767236977914,4.419022728765397,1.4821346893529863
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_03_H0C2,0.0,3.694110039599657,4.402514982611727,1.432296142653802
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_04_H0C3,0.0,3.560535818176704,4.45235787641367,1.9356140384745983
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_05_H0C4,0.0,3.706039443735964,4.300724054710563,1.0902940366753635
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_06_H0C5,0.0,3.722535757599767,4.299356534238391,1.598562896953536
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_07_H0C6,0.0,3.651528507323513,4.453110697224573,2.145161365431376
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_08_H0C7,0.0,3.6387879886336334,4.283919363563667,1.6947549354668765
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_09_H0C8,0.0,3.699821302448133,4.379530019145363,1.6034820052544154
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_10_H0C10,0.0,3.50165458128283,4.452349135698739,1.7827666909178124
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_11_H0C12,0.0,3.657794283941296,4.480086196485056,1.7336666399209306
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_12_H0C14,0.0,3.773485589645493,4.380392638619859,1.7710495322527944
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_13_H1C0,1.0,4.614244489334372,5.019405776311129,0.8281506143570359
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_14_H1C1,1.0,4.5828648690984615,5.001986529329056,0.7967954393709523
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_15_H1C2,1.0,4.536847796753316,5.014348380565118,0.9142810162754584
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_16_H1C3,1.0,4.543459208697742,5.001405527130558,0.6908082393105217
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_17_H1C4,1.0,4.538349818639587,5.000701932998768,0.6131945466668457
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_18_H1C5,1.0,4.645216172711248,5.000412593132903,0.7013412302537223
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_19_H1C6,1.0,4.616096836140878,5.008889826229802,0.9873250983976564
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_20_H1C7,1.0,4.600806341790863,5.017382968579709,0.8065125013146662
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_21_H1C8,1.0,4.559043460387983,5.013887238353126,0.7654972107743233
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_22_H1C10,1.0,4.552208231616457,5.023237261154416,0.7551919601509817
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_23_H1C12,1.0,4.623701578215881,5.034671042150148,0.9711992819153392
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_24_H1C14,1.0,4.594004810524294,5.014019256320947,0.6989500397762465
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_25_H2C0,2.0,5.3689348107076444,5.750319797660855,0.746517281648108
DPA2,fcc_to_bcc,pure,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,bcc,POCC_33_H2C8,2.0,5.263812417612762,5.778286265336714,0.6191716685681848
