architecture,fold,regime,added_pocc_systems,added_pocc_frames,force_rmse_reduction_ev_a,force_rmse_reduction_ci_low_ev_a,force_rmse_reduction_ci_high_ev_a,relative_force_rmse_reduction_percent,force_rmse_reduction_per_1000_added_frames,force_rmse_reduction_per_1000_ci_low,force_rmse_reduction_per_1000_ci_high,direction,fraction_of_aimd_reduction
DPA2,fcc_to_bcc,pure_pocc_seed,29,29,0.18642714402361782,0.09337628237806951,0.29287308886414176,18.36393426697349,6.428522207710959,3.2198718061403278,10.099072029797993,improvement,0.2724795381361487
DPA2,fcc_to_bcc,pure_pocc_aimd,29,15848,0.6841876835921035,0.6137945573372078,0.7653247384611522,67.39564516509735,0.04317186292226801,0.038730095743135275,0.04829156603111764,improvement,1.0
DPA2,bcc_to_fcc,pure_pocc_seed,30,30,0.10101573870644986,0.03621053695097435,0.16965655774932448,12.703114300948881,3.3671912902149956,1.2070178983658117,5.655218591644148,improvement,0.18382544176580717
DPA2,bcc_to_fcc,pure_pocc_aimd,30,22857,0.5495199017943527,0.5004750283909704,0.6046051991395017,69.10422289169631,0.024041645963790204,0.021895919341600838,0.026451642785120605,improvement,1.0
DPA3,fcc_to_bcc,pure_pocc_seed,29,29,-0.023766905555073436,-0.20902893473191322,0.23725722860071471,-2.9450550288566455,-0.8195484674163254,-7.207894301100455,8.181283744852232,unresolved,0.26647040440129643
DPA3,fcc_to_bcc,pure_pocc_aimd,29,15848,-0.08919153933238,-0.40500076000121416,0.17746293570144228,-11.052090514417808,-0.005627936606031045,-0.025555323069233603,0.011197812702009232,unresolved,1.0
DPA3,bcc_to_fcc,pure_pocc_seed,30,30,-0.24636387847264063,-0.2701981616023905,-0.2214340909615143,-57.895802527946884,-8.212129282421355,-9.006605386746351,-7.38113636538381,degradation,-2.0176579582839085
DPA3,bcc_to_fcc,pure_pocc_aimd,30,22857,0.12210388656865412,0.058987865797338085,0.17916409347218978,28.69455761331785,0.005342078425368776,0.0025807352582289055,0.007838478079896303,improvement,1.0
DPA4,fcc_to_bcc,pure_pocc_seed,29,29,0.8285695235929232,0.36218569859198085,1.3984367075692656,61.63759568180723,28.571362882514595,12.489162020413133,48.22195543342295,improvement,1.071463623459459
DPA4,fcc_to_bcc,pure_pocc_aimd,29,15848,0.7733062564622604,0.43434019729832046,1.1914927644204785,57.526540642412584,0.04879519538504924,0.027406625271221632,0.0751825318286521,improvement,1.0
DPA4,bcc_to_fcc,pure_pocc_seed,30,30,-0.42624298348975875,-0.6237352100746337,-0.2433193863454469,-73.59291777748152,-14.208099449658624,-20.791173669154457,-8.110646211514897,degradation,-1.1563503027758257
DPA4,bcc_to_fcc,pure_pocc_aimd,30,22857,0.36861060395501255,0.32671848339827897,0.4101582260819526,63.64240801495989,0.016126814715623772,0.014294022986318369,0.017944534544426332,improvement,1.0
