fold,regime,role,systems,frames
shared,pure_baseline,training,20,10881
shared,pure_baseline,validation,5,6267
shared,pure_baseline,test,5,7643
fcc_to_bcc,pure,training,20,10881
fcc_to_bcc,pure,validation,17,8893
fcc_to_bcc,pure_pocc_seed,training,49,10910
fcc_to_bcc,pure_pocc_seed,validation,17,8893
fcc_to_bcc,pure_pocc_aimd,training,49,26729
fcc_to_bcc,pure_pocc_aimd,validation,17,8893
fcc_to_bcc,evaluation,pure_test,5,7643
fcc_to_bcc,evaluation,pocc_ood_test,42,23323
fcc_to_bcc,evaluation,pocc_validation,12,2626
bcc_to_fcc,pure,training,20,10881
bcc_to_fcc,pure,validation,17,6733
bcc_to_fcc,pure_pocc_seed,training,50,10911
bcc_to_fcc,pure_pocc_seed,validation,17,6733
bcc_to_fcc,pure_pocc_aimd,training,50,33738
bcc_to_fcc,pure_pocc_aimd,validation,17,6733
bcc_to_fcc,evaluation,pure_test,5,7643
bcc_to_fcc,evaluation,pocc_ood_test,41,18474
bcc_to_fcc,evaluation,pocc_validation,12,466
