architecture,fold,regime,endpoint,unit,systems,ema_estimate,ordinary_estimate,ordinary_minus_ema,difference_ci_low,difference_ci_high,relative_difference_percent,bootstrap_resamples
DPA4,fcc_to_bcc,pure,force_component_rmse_ev_a,eV/angstrom,42,1.3442599673586577,1.3439873477881645,-0.0002726195704931822,-0.001050185534128073,0.0003976269953295862,-0.02028027145886473,10000
DPA4,fcc_to_bcc,pure,force_component_mae_ev_a,eV/angstrom,42,0.5974990746113539,0.5973895990424597,-0.00010947556889417953,-0.00021888333070186895,1.0016524923910071e-05,-0.01832229932161626,10000
DPA4,fcc_to_bcc,pure,force_vector_rmse_ev_a,eV/angstrom,42,2.3283265620460756,2.327854371098844,-0.0004721909472316099,-0.0018189747024834225,0.0006887101583720298,-0.02028027145885671,10000
DPA4,fcc_to_bcc,pure,energy_rmse_mev_atom,meV/atom,42,373.6973238632233,373.6588582482432,-0.038465614980111695,-0.05943070206177481,-0.01572634559112914,-0.01029325406520451,10000
DPA4,fcc_to_bcc,pure,energy_mae_mev_atom,meV/atom,42,364.7820766692123,364.73789389889123,-0.044182770321071985,-0.06197395348184927,-0.02545092880097002,-0.012112100113169025,10000
DPA4,fcc_to_bcc,pure,virial_component_rmse_mev_atom,meV/atom,42,635.0394740186944,635.3616403494641,0.32216633076973267,-0.13487819898380876,0.9120808474165611,0.050731701563523385,10000
DPA4,fcc_to_bcc,pure,stress_component_rmse_gpa,GPa,42,5.788910614406905,5.792318035479627,0.003407421072721739,-0.00160804360140816,0.009796935601595225,0.05886117958431876,10000
DPA4,fcc_to_bcc,pure_pocc_seed,force_component_rmse_ev_a,eV/angstrom,42,0.5156904437657345,0.5158070125520212,0.0001165687862867415,6.978905689478677e-05,0.00016608354195820905,0.022604410784795508,10000
DPA4,fcc_to_bcc,pure_pocc_seed,force_component_mae_ev_a,eV/angstrom,42,0.36463897310335375,0.36469487753889546,5.590443554170932e-05,3.344471844348301e-05,7.888511354819522e-05,0.01533144827222396,10000
DPA4,fcc_to_bcc,pure_pocc_seed,force_vector_rmse_ev_a,eV/angstrom,42,0.8932020495799933,0.8934039526404186,0.00020190306042533468,0.00012087819235402364,0.00028766513297267816,0.022604410784802242,10000
DPA4,fcc_to_bcc,pure_pocc_seed,energy_rmse_mev_atom,meV/atom,42,304.8620264423113,304.88183782825547,0.019811385944194626,0.012533930107296953,0.026947230550840116,0.006498476105860142,10000
DPA4,fcc_to_bcc,pure_pocc_seed,energy_mae_mev_atom,meV/atom,42,294.8022089680317,294.8210968519175,0.018887883885781775,0.011859444456374746,0.025663127825185924,0.00640696823538048,10000
DPA4,fcc_to_bcc,pure_pocc_seed,virial_component_rmse_mev_atom,meV/atom,42,602.9334784683699,603.0411201734958,0.10764170512584315,0.07146971465315204,0.14527204464915253,0.017852998542937943,10000
DPA4,fcc_to_bcc,pure_pocc_seed,stress_component_rmse_gpa,GPa,42,5.192321058408392,5.193215679830615,0.0008946214222236293,0.0005880258127503257,0.0012157868158247042,0.01722970155658785,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,force_component_rmse_ev_a,eV/angstrom,42,0.5709537108963973,0.5710932350312188,0.00013952413482143378,-0.00022356423527245122,0.0006739400108554414,0.024437030911381743,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,force_component_mae_ev_a,eV/angstrom,42,0.25884164655405784,0.25886278331652074,2.1136762462903302e-05,-2.9577728816193582e-05,8.983141439515419e-05,0.008165904808710522,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,force_vector_rmse_ev_a,eV/angstrom,42,0.9889208360425522,0.9891624989329453,0.00024166289039306843,-0.0003872246142472835,0.0011672983400550492,0.02443703091140755,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,energy_rmse_mev_atom,meV/atom,42,249.51887748999337,249.51743701768868,-0.0014404723046936851,-0.01963106571745854,0.017372860815682144,-0.000577299929842564,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,energy_mae_mev_atom,meV/atom,42,241.03768994944826,241.03373115556064,-0.003958793887619549,-0.021751766111079717,0.01444666119136286,-0.001642396211335169,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,virial_component_rmse_mev_atom,meV/atom,42,555.3306806078921,555.284182846028,-0.046497761864088716,-0.12189797045932096,0.029649787287992505,-0.00837298631028093,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,stress_component_rmse_gpa,GPa,42,4.87762272786286,4.877157915956672,-0.00046481190618852253,-0.0010926538786159234,0.0001471589255637839,-0.009529476388842823,10000
DPA4,bcc_to_fcc,pure,force_component_rmse_ev_a,eV/angstrom,41,0.5791902215082219,0.5790154100558128,-0.0001748114524090516,-0.0001918796414986157,-0.0001573651395925996,-0.030182044847690867,10000
DPA4,bcc_to_fcc,pure,force_component_mae_ev_a,eV/angstrom,41,0.4385214839175101,0.43839326064643125,-0.00012822327107886444,-0.00014361525733313786,-0.0001127167688477676,-0.029239906317334367,10000
DPA4,bcc_to_fcc,pure,force_vector_rmse_ev_a,eV/angstrom,41,1.0031868908993127,1.002884108581995,-0.00030278231731761807,-0.0003323452880133637,-0.0002725644171145764,-0.03018204484771398,10000
DPA4,bcc_to_fcc,pure,energy_rmse_mev_atom,meV/atom,41,106.30174838496133,106.22136535139607,-0.08038303356525489,-0.08329816704116481,-0.07736642438129274,-0.07561779066338178,10000
DPA4,bcc_to_fcc,pure,energy_mae_mev_atom,meV/atom,41,104.13747343061351,104.05559409724272,-0.081879333370793,-0.0848016785962713,-0.07900940980700284,-0.07862619542555828,10000
DPA4,bcc_to_fcc,pure,virial_component_rmse_mev_atom,meV/atom,41,164.1573721616347,164.22556995163984,0.06819779000514359,0.03793310900008464,0.09900725048015528,0.04154415309352895,10000
DPA4,bcc_to_fcc,pure,stress_component_rmse_gpa,GPa,41,1.3544987083281752,1.3550711132069797,0.0005724048788045,0.00032913568017985394,0.0008198505304182035,0.04225953670424724,10000
DPA4,bcc_to_fcc,pure_pocc_seed,force_component_rmse_ev_a,eV/angstrom,41,1.0054332049979806,1.0058328871601545,0.00039968216217389774,-0.0001427855695124963,0.0009779369973165748,0.039752234179962306,10000
DPA4,bcc_to_fcc,pure_pocc_seed,force_component_mae_ev_a,eV/angstrom,41,0.5371237639336103,0.5371331479745427,9.384040932425286e-06,-0.00012400539351765661,0.00014467189675561312,0.0017470909988605856,10000
DPA4,bcc_to_fcc,pure_pocc_seed,force_vector_rmse_ev_a,eV/angstrom,41,1.741461394673317,1.7421536644850815,0.0006922698117644011,-0.0002473118609831848,0.0016938365659536871,0.03975223417997531,10000
DPA4,bcc_to_fcc,pure_pocc_seed,energy_rmse_mev_atom,meV/atom,41,85.75268320088976,85.75848504493952,0.005801844049756255,0.001515413700429491,0.010014852689351627,0.006765787183783487,10000
DPA4,bcc_to_fcc,pure_pocc_seed,energy_mae_mev_atom,meV/atom,41,81.3619204048879,81.36841738216731,0.006496977279411453,0.002292181712801522,0.010709391776762438,0.007985280149583517,10000
DPA4,bcc_to_fcc,pure_pocc_seed,virial_component_rmse_mev_atom,meV/atom,41,240.38894792315918,240.4141045539558,0.025156630796629997,-0.04213398166558804,0.09776225916545367,0.010464969797476449,10000
DPA4,bcc_to_fcc,pure_pocc_seed,stress_component_rmse_gpa,GPa,41,1.9878352107238912,1.9880461963542004,0.0002109856303091906,-0.00033718820914431237,0.0008034615802855692,0.010613839073328314,10000
