architecture,fold,comparison,baseline_regime,treatment_regime,force_bin,systems_with_atoms,baseline_equal_system_component_rmse_ev_a,treatment_equal_system_component_rmse_ev_a,absolute_reduction_ev_a,reduction_ci_low,reduction_ci_high,bootstrap_resamples
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0, 0.5)",42,0.8400532522131234,0.2556105138405697,0.5844427383725537,0.5073916559734292,0.6645134559748638,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0, 0.5)",42,0.8400532522131234,0.21701962863254037,0.6230336235805831,0.5571340300387372,0.6929889903541582,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0, 0.5)",42,0.2556105138405697,0.21701962863254037,0.038590885208029335,0.013639639951433923,0.060995785881580424,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[0.5, 1)",41,0.8956047654001587,0.4762300208941274,0.41937474450603124,0.3291294912742786,0.5174572701956638,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[0.5, 1)",41,0.8956047654001587,0.2574884538856359,0.6381163115145227,0.5721066037564037,0.7102743297171288,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[0.5, 1)",41,0.4762300208941274,0.2574884538856359,0.2187415670084915,0.18134169416314025,0.25496770094047944,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[1, 2)",41,0.9930412969209931,0.8165262830868134,0.17651501383417967,0.055039754826344725,0.3153148240589664,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,"[1, 2)",41,0.9930412969209931,0.3029781336660364,0.6900631632549568,0.6105380239042417,0.7842005755513196,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,"[1, 2)",41,0.8165262830868134,0.3029781336660364,0.513548149420777,0.4501743503713165,0.5739639720018207,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,"[2, 4)",41,1.1673186622801535,1.3447159176908283,-0.17739725541067486,-0.32879029426753237,-0.0023676008523667033,10000
