architecture,fold,regime,force_bin,systems_with_atoms,atoms,equal_system_component_rmse_ev_a,pooled_component_rmse_ev_a
DPA2,fcc_to_bcc,pure,"[0, 0.5)",42,262158,0.8400532522131234,0.7371872019761956
DPA2,fcc_to_bcc,pure_pocc_seed,"[0, 0.5)",42,262158,0.2556105138405697,0.25849375246090295
DPA2,fcc_to_bcc,pure_pocc_aimd,"[0, 0.5)",42,262158,0.21701962863254037,0.19556349296250056
DPA2,fcc_to_bcc,pure,"[0.5, 1)",41,828487,0.8956047654001587,0.746301935753867
DPA2,fcc_to_bcc,pure_pocc_seed,"[0.5, 1)",41,828487,0.4762300208941274,0.486456651421283
DPA2,fcc_to_bcc,pure_pocc_aimd,"[0.5, 1)",41,828487,0.2574884538856359,0.20665678693810785
DPA2,fcc_to_bcc,pure,"[1, 2)",41,1282615,0.9930412969209931,0.8080920929662089
DPA2,fcc_to_bcc,pure_pocc_seed,"[1, 2)",41,1282615,0.8165262830868134,0.8560359893768398
DPA2,fcc_to_bcc,pure_pocc_aimd,"[1, 2)",41,1282615,0.3029781336660364,0.22487713481910404
DPA2,fcc_to_bcc,pure,"[2, 4)",41,227999,1.1673186622801535,1.022828564943547
DPA2,fcc_to_bcc,pure_pocc_seed,"[2, 4)",41,227999,1.3447159176908283,1.399607710221849
DPA2,fcc_to_bcc,pure_pocc_aimd,"[2, 4)",41,227999,0.381160743215969,0.3364871263870221
DPA2,fcc_to_bcc,pure,"[4, inf)",22,7536,1.8611611342014918,2.5151985438602464
DPA2,fcc_to_bcc,pure_pocc_seed,"[4, inf)",22,7536,2.5071003093946214,2.752278267697161
DPA2,fcc_to_bcc,pure_pocc_aimd,"[4, inf)",22,7536,0.8454885461779633,1.4807021199838957
DPA2,bcc_to_fcc,pure,"[0, 0.5)",41,210137,0.6757227133632807,0.690110795428417
DPA2,bcc_to_fcc,pure_pocc_seed,"[0, 0.5)",41,210137,0.22082982624477349,0.22309603250969043
DPA2,bcc_to_fcc,pure_pocc_aimd,"[0, 0.5)",41,210137,0.19407088273557543,0.19119287376003583
DPA2,bcc_to_fcc,pure,"[0.5, 1)",41,612936,0.7515536466791454,0.726258800295859
DPA2,bcc_to_fcc,pure_pocc_seed,"[0.5, 1)",41,612936,0.4195018142005118,0.4268905622390305
DPA2,bcc_to_fcc,pure_pocc_aimd,"[0.5, 1)",41,612936,0.22556933684039793,0.209546061801534
DPA2,bcc_to_fcc,pure,"[1, 2)",41,986247,0.8179577459182181,0.7699507548454376
DPA2,bcc_to_fcc,pure_pocc_seed,"[1, 2)",41,986247,0.7513105344290899,0.7667253598201823
DPA2,bcc_to_fcc,pure_pocc_aimd,"[1, 2)",41,986247,0.2559411440543907,0.2367170508742771
DPA2,bcc_to_fcc,pure,"[2, 4)",41,188691,0.9397744240237258,0.8959112720434377
DPA2,bcc_to_fcc,pure_pocc_seed,"[2, 4)",41,188691,1.2646556856022653,1.2732147342066005
DPA2,bcc_to_fcc,pure_pocc_aimd,"[2, 4)",41,188691,0.30208317171309484,0.3027345914743707
DPA2,bcc_to_fcc,pure,"[4, inf)",24,619,1.127215696454117,1.2498722726236628
DPA2,bcc_to_fcc,pure_pocc_seed,"[4, inf)",24,619,2.2281062605131283,2.2628598985655466
DPA2,bcc_to_fcc,pure_pocc_aimd,"[4, inf)",24,619,0.4545104987689003,0.47049819696792605
DPA3,fcc_to_bcc,pure,"[0, 0.5)",42,262158,0.530165529930287,0.41136490740086484
DPA3,fcc_to_bcc,pure_pocc_seed,"[0, 0.5)",42,262158,0.3053188543537625,0.250104335994128
DPA3,fcc_to_bcc,pure_pocc_aimd,"[0, 0.5)",42,262158,0.41480496152600793,0.33083443953117264
DPA3,fcc_to_bcc,pure,"[0.5, 1)",41,828487,0.685186630273009,0.4184945294208946
DPA3,fcc_to_bcc,pure_pocc_seed,"[0.5, 1)",41,828487,0.5215867282198327,0.42871229076076506
DPA3,fcc_to_bcc,pure_pocc_aimd,"[0.5, 1)",41,828487,0.735951795052637,0.4076192034627252
DPA3,fcc_to_bcc,pure,"[1, 2)",41,1282615,0.8818532947694901,0.4963574352567738
DPA3,fcc_to_bcc,pure_pocc_seed,"[1, 2)",41,1282615,0.851816691806447,0.7387157804224661
DPA3,fcc_to_bcc,pure_pocc_aimd,"[1, 2)",41,1282615,1.0144853296653666,0.540361319402164
DPA3,fcc_to_bcc,pure,"[2, 4)",41,227999,0.9392060875351391,0.7343836495349099
DPA3,fcc_to_bcc,pure_pocc_seed,"[2, 4)",41,227999,1.3009893329661422,1.2191826586494474
DPA3,fcc_to_bcc,pure_pocc_aimd,"[2, 4)",41,227999,1.1786678385294616,1.0885871305223056
DPA3,fcc_to_bcc,pure,"[4, inf)",22,7536,1.2312264061211464,1.88508081811964
DPA3,fcc_to_bcc,pure_pocc_seed,"[4, inf)",22,7536,2.292353119381124,2.7116602002103596
DPA3,fcc_to_bcc,pure_pocc_aimd,"[4, inf)",22,7536,1.1529531058987503,1.8898326860430488
DPA3,bcc_to_fcc,pure,"[0, 0.5)",41,210137,0.39439977555605615,0.40444178060723285
DPA3,bcc_to_fcc,pure_pocc_seed,"[0, 0.5)",41,210137,0.2193579355755797,0.217200429133103
DPA3,bcc_to_fcc,pure_pocc_aimd,"[0, 0.5)",41,210137,0.24245899548284847,0.25632907424871537
DPA3,bcc_to_fcc,pure,"[0.5, 1)",41,612936,0.4112683652932382,0.4181260173741184
DPA3,bcc_to_fcc,pure_pocc_seed,"[0.5, 1)",41,612936,0.4110329792701026,0.41211953935232043
DPA3,bcc_to_fcc,pure_pocc_aimd,"[0.5, 1)",41,612936,0.27278356701600326,0.26587066019490013
DPA3,bcc_to_fcc,pure,"[1, 2)",41,986247,0.4300275298723686,0.44262261629811295
DPA3,bcc_to_fcc,pure_pocc_seed,"[1, 2)",41,986247,0.7294962783896913,0.7377539278103794
DPA3,bcc_to_fcc,pure_pocc_aimd,"[1, 2)",41,986247,0.31389409241850674,0.30907118205108514
DPA3,bcc_to_fcc,pure,"[2, 4)",41,188691,0.4740903167069134,0.48803764509584924
DPA3,bcc_to_fcc,pure_pocc_seed,"[2, 4)",41,188691,1.2076301572668013,1.2140313015916264
DPA3,bcc_to_fcc,pure_pocc_aimd,"[2, 4)",41,188691,0.38627492346731024,0.4549190662746146
DPA3,bcc_to_fcc,pure,"[4, inf)",24,619,0.5228236702711804,0.59295111209963
DPA3,bcc_to_fcc,pure_pocc_seed,"[4, inf)",24,619,2.096623431193896,2.1777545459523493
DPA3,bcc_to_fcc,pure_pocc_aimd,"[4, inf)",24,619,0.5504987991238947,0.8242717971842396
DPA4,fcc_to_bcc,pure,"[0, 0.5)",42,262158,0.6093809916000975,0.5514654528352243
DPA4,fcc_to_bcc,pure_pocc_seed,"[0, 0.5)",42,262158,0.25317181580884857,0.2774730690028041
DPA4,fcc_to_bcc,pure_pocc_aimd,"[0, 0.5)",42,262158,0.18796528596498496,0.17464841510355592
DPA4,fcc_to_bcc,pure,"[0.5, 1)",41,828487,0.7642711737686306,0.5743646841303925
DPA4,fcc_to_bcc,pure_pocc_seed,"[0.5, 1)",41,828487,0.3674657344207448,0.3688793980860123
DPA4,fcc_to_bcc,pure_pocc_aimd,"[0.5, 1)",41,828487,0.2563030254973492,0.1963173233480414
DPA4,fcc_to_bcc,pure,"[1, 2)",41,1282615,1.063962715731406,0.713253100800422
DPA4,fcc_to_bcc,pure_pocc_seed,"[1, 2)",41,1282615,0.5084760513645518,0.4921658061407598
DPA4,fcc_to_bcc,pure_pocc_aimd,"[1, 2)",41,1282615,0.3580062560062091,0.2330337150251357
DPA4,fcc_to_bcc,pure,"[2, 4)",41,227999,1.6219663152100425,1.6969456685683488
DPA4,fcc_to_bcc,pure_pocc_seed,"[2, 4)",41,227999,0.7426741613676119,0.7337915483829693
DPA4,fcc_to_bcc,pure_pocc_aimd,"[2, 4)",41,227999,0.7157073162328478,0.8107023150648887
DPA4,fcc_to_bcc,pure,"[4, inf)",22,7536,3.693147480683062,8.560811414420487
DPA4,fcc_to_bcc,pure_pocc_seed,"[4, inf)",22,7536,1.2986531448016483,1.670434269192648
DPA4,fcc_to_bcc,pure_pocc_aimd,"[4, inf)",22,7536,1.919107114587404,4.529741337371281
DPA4,bcc_to_fcc,pure,"[0, 0.5)",41,210137,0.5868841470115107,0.6139683325891602
DPA4,bcc_to_fcc,pure_pocc_seed,"[0, 0.5)",41,210137,0.6653506999552641,0.8588321311371833
DPA4,bcc_to_fcc,pure_pocc_aimd,"[0, 0.5)",41,210137,0.18015704299695123,0.17770981757398613
DPA4,bcc_to_fcc,pure,"[0.5, 1)",41,612936,0.5781974875269418,0.6131742611819844
DPA4,bcc_to_fcc,pure_pocc_seed,"[0.5, 1)",41,612936,0.8572898785295585,1.1979338253440543
DPA4,bcc_to_fcc,pure_pocc_aimd,"[0.5, 1)",41,612936,0.19553401908968437,0.18303104947110382
DPA4,bcc_to_fcc,pure,"[1, 2)",41,986247,0.5757310380494354,0.6085433694978121
DPA4,bcc_to_fcc,pure_pocc_seed,"[1, 2)",41,986247,1.0578502272458075,1.5534187195856637
DPA4,bcc_to_fcc,pure_pocc_aimd,"[1, 2)",41,986247,0.21589999592060996,0.20295030309986525
DPA4,bcc_to_fcc,pure,"[2, 4)",41,188691,0.5862600083588259,0.6118047046269405
DPA4,bcc_to_fcc,pure_pocc_seed,"[2, 4)",41,188691,1.355659190092181,1.9996273861615896
DPA4,bcc_to_fcc,pure_pocc_aimd,"[2, 4)",41,188691,0.25489569286687574,0.25484596131267173
DPA4,bcc_to_fcc,pure,"[4, inf)",24,619,0.5390018446797535,0.5881124714983611
DPA4,bcc_to_fcc,pure_pocc_seed,"[4, inf)",24,619,1.1129619724177886,1.37391558035032
DPA4,bcc_to_fcc,pure_pocc_aimd,"[4, inf)",24,619,0.38517135523020074,0.43672626225872496
