architecture,fold,regime,evaluation_variant,endpoint,unit,systems,equal_system_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
DPA2,fcc_to_bcc,pure,independence,force_component_rmse_ev_a,eV/angstrom,42,0.8139343692193899,0.746094467026905,0.88707334029028,10000
DPA2,fcc_to_bcc,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,42,0.519948240352828,0.43795035902613266,0.6009850923077019,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,42,0.2025568703466424,0.181916955542757,0.22389215523214986,10000
DPA2,fcc_to_bcc,pure,independence,force_component_mae_ev_a,eV/angstrom,42,0.5745220269050053,0.5308186970074891,0.6192196303354932,10000
DPA2,fcc_to_bcc,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,42,0.3795801636414068,0.3142691852595019,0.44387277001739245,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,42,0.14301174668500605,0.12951673961907084,0.1561843686813494,10000
DPA2,fcc_to_bcc,pure,independence,force_vector_rmse_ev_a,eV/angstrom,42,1.4097756815145086,1.2922735241366219,1.536456095422601,10000
DPA2,fcc_to_bcc,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.9005767695971326,0.7585522730262927,1.0409367144684112,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.3508387908625264,0.31508940975830385,0.3877925882781817,10000
DPA2,fcc_to_bcc,pure,independence,energy_rmse_mev_atom,meV/atom,42,379.2975725310299,350.61972988847214,407.2768739296499,10000
DPA2,fcc_to_bcc,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,42,122.78960543537505,93.11807794303584,153.46636045616194,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,42,86.29102588038242,49.89072414922659,123.39012723256383,10000
DPA2,fcc_to_bcc,pure,independence,energy_mae_mev_atom,meV/atom,42,379.0314354626311,350.28424861569647,407.0283765175611,10000
DPA2,fcc_to_bcc,pure_pocc_seed,independence,energy_mae_mev_atom,meV/atom,42,117.50738369864033,86.85751155650239,149.2610818659884,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,independence,energy_mae_mev_atom,meV/atom,42,85.80666835490577,49.302464940419846,122.9787690552948,10000
DPA2,fcc_to_bcc,pure,independence,virial_component_rmse_mev_atom,meV/atom,42,467.8762192576986,341.9423287760363,597.4724559200222,10000
DPA2,fcc_to_bcc,pure_pocc_seed,independence,virial_component_rmse_mev_atom,meV/atom,42,369.2406803487284,249.51569150898118,490.5871534115875,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,independence,virial_component_rmse_mev_atom,meV/atom,42,325.47806036019426,201.31109271789373,451.560738221095,10000
