architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_rmse_ev_a,eV/angstrom,42,0.8139343692193899,0.519948240352828,0.29398612886656184,0.18011813144946473,0.41463409053438177,36.11914424359688,23.501246007121445,48.24470000839516,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,42,0.8139343692193899,0.2025568703466424,0.6113774988727475,0.5424979060362207,0.6854393250416616,75.11385708642503,71.77642513733007,78.25811776588537,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_component_rmse_ev_a,eV/angstrom,42,0.519948240352828,0.2025568703466424,0.31739137000618567,0.2278699004903638,0.4039393466521209,61.04287799701164,51.53075799397815,67.81777781318529,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_component_mae_ev_a,eV/angstrom,42,0.5745220269050053,0.3795801636414068,0.19494186326359852,0.12549865866168156,0.267570364319922,33.93113825657224,22.449542076950152,45.48769604198028,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,42,0.5745220269050053,0.14301174668500605,0.43151028021999926,0.38591804945933234,0.4777065709959291,75.10769996836825,71.97643412619459,78.03202564326324,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_component_mae_ev_a,eV/angstrom,42,0.3795801636414068,0.14301174668500605,0.23656841695640074,0.17156087351261143,0.29973436091566275,62.3237038223866,53.929573266449,68.14962679885585,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,force_vector_rmse_ev_a,eV/angstrom,42,1.4097756815145086,0.9005767695971326,0.509198911917376,0.31197375503484276,0.718167311355663,36.11914424359686,23.50124600712148,48.24470000839515,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,42,1.4097756815145086,0.3508387908625264,1.0589368906519823,0.9396339362544608,1.187215736477876,75.11385708642501,71.77642513733007,78.25811776588537,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,force_vector_rmse_ev_a,eV/angstrom,42,0.9005767695971326,0.3508387908625264,0.5497379787346062,0.39468224516497424,0.6996434715776506,61.04287799701163,51.53075799397814,67.81777781318527,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,independence,energy_rmse_mev_atom,meV/atom,42,379.2975725310299,122.78960543537505,256.50796709565486,224.30356084967673,288.2015550560469,67.62710485701045,60.05008268251529,74.84535400401523,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,42,379.2975725310299,86.29102588038242,293.00654665064746,256.11564978727364,329.71107398183494,77.24978166757894,68.1340430994097,86.42538206097362,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,independence,energy_rmse_mev_atom,meV/atom,42,122.78960543537505,86.29102588038242,36.49857955499263,22.494940506879967,51.30393237042558,29.724486389201783,16.355385709009326,47.95904863207367,improvement,10000
