architecture,fold,regime,evaluation_variant,endpoint,unit,systems,equal_system_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
DPA2,fcc_to_bcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,42,1.0151808502108213,0.8902322359192463,1.1491610181594887,10000
DPA2,fcc_to_bcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8287537061872035,0.7526990331320642,0.90660774432607,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.3309931666187178,0.2572771770037293,0.4095755945891443,10000
DPA2,fcc_to_bcc,pure,primary,force_component_mae_ev_a,eV/angstrom,42,0.7158650276117982,0.6469578996089685,0.7884727794178182,10000
DPA2,fcc_to_bcc,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,42,0.613335343108584,0.5635156571780081,0.6612710875849779,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,42,0.237516150651811,0.18930906588346882,0.28881983667572536,10000
DPA2,fcc_to_bcc,pure,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.7583448114361124,1.5419274631477775,1.9904052695298158,10000
DPA2,fcc_to_bcc,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.4354435260772458,1.3037129681927049,1.5702906757081672,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,42,0.5732969815417301,0.44561714219835036,0.7094057393686305,10000
DPA2,fcc_to_bcc,pure,primary,energy_rmse_mev_atom,meV/atom,42,545.1683972640815,448.931550651919,645.2650482914788,10000
DPA2,fcc_to_bcc,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,42,236.11128401303674,154.56275589589404,322.8891552327577,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,42,237.43497742264177,129.19559103857054,352.57412445606695,10000
DPA2,fcc_to_bcc,pure,primary,energy_mae_mev_atom,meV/atom,42,538.1328664826393,444.9322931202828,634.7567893998851,10000
