architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,1.0151808502108213,0.8287537061872035,0.18642714402361782,0.09337628237806951,0.29287308886414176,18.36393426697349,10.23039528144776,26.304778262792286,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,1.0151808502108213,0.3309931666187178,0.6841876835921035,0.6137945573372078,0.7653247384611522,67.39564516509735,62.98597463130912,71.90335584913183,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8287537061872035,0.3309931666187178,0.49776053956848565,0.4545451588451348,0.5369321008522631,60.061334972304635,54.03690027314415,66.54466307367856,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,42,0.7158650276117982,0.613335343108584,0.1025296845032142,0.04800966495665303,0.16210856106966978,14.322488255260092,7.277339196556248,21.272234040614393,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,42,0.7158650276117982,0.237516150651811,0.4783488769599872,0.44224735593511916,0.5176888034359187,66.82109874200866,62.472366694814085,71.24873768186622,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,42,0.613335343108584,0.237516150651811,0.375819192456773,0.34095587351409706,0.4076706974880003,61.274667550054836,55.33357155430944,67.4449364575516,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.7583448114361124,1.4354435260772458,0.32290128535886664,0.16173246530071475,0.5072710700823282,18.36393426697349,10.230395281447764,26.304778262792276,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.7583448114361124,0.5732969815417301,1.1850478298943823,1.0631233587172924,1.3255813313040783,67.39564516509733,62.98597463130911,71.90335584913183,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,42,1.4354435260772458,0.5732969815417301,0.8621465445355156,0.7872953094542392,0.9299936788908157,60.061334972304635,54.036900273144155,66.54466307367854,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,42,545.1683972640815,236.11128401303674,309.0571132510447,272.18201769724726,346.0129993612831,56.69021073159095,48.74010969296163,66.56182567222183,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,42,545.1683972640815,237.43497742264177,307.73341984143974,274.3909325759252,339.9485061885502,56.44740623003732,44.92965067310134,71.74278703177549,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure_pocc_seed,pure_pocc_seed,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,42,236.11128401303674,237.43497742264177,-1.3236934096050277,-35.33962006769353,31.022795286849252,-0.5606226805881674,-11.937482664284465,18.73464688833955,unresolved,10000
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,energy_mae_mev_atom,meV/atom,42,538.1328664826393,228.1419146578562,309.9909518247831,273.27622809061927,346.473653781348,57.60490970398362,49.52347856441287,67.65207431278931,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,42,538.1328664826393,230.61482224750603,307.5180442351333,274.0336930903661,339.9170595157712,57.14537494153483,45.5996899566042,72.34316450635168,improvement,10000
