fold,regime,system_id,parent_family,structure,hnf_group,environment_count,coverage_distance_mean,coverage_distance_median,coverage_distance_p90,coverage_distance_minimum,coverage_distance_maximum
fcc_to_bcc,pure,POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_01_H0C0,0,60,3.600770940820875,3.7680644386616122,4.386272633123618,2.900388720674023,4.3862743853662804
fcc_to_bcc,pure,POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_02_H0C1,0,60,3.629275259067113,3.7020767236977905,4.419022728765397,3.0369624089032983,4.419025148200216
fcc_to_bcc,pure,POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_03_H0C2,0,60,3.6306417109241593,3.694110039599657,4.402514982611727,2.8467338437233995,4.402515842411302
fcc_to_bcc,pure,POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_04_H0C3,0,60,3.6446095138978793,3.560535818176704,4.45235787641367,3.0404111119413,4.452361378523492
fcc_to_bcc,pure,POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_05_H0C4,0,60,3.641459309798239,3.706039443735964,4.300724054710563,2.9468492836703897,4.300725538777909
fcc_to_bcc,pure,POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_06_H0C5,0,60,3.638129393717634,3.7225357575997666,4.299356534238391,2.9573154429187807,4.29936075882933
fcc_to_bcc,pure,POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_07_H0C6,0,60,3.590534772175125,3.6515285073235133,4.453110697224573,2.7951633757957053,4.453115822646831
fcc_to_bcc,pure,POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_08_H0C7,0,60,3.5858744372449416,3.6387879886336343,4.283919363563667,2.8866625918416147,4.28891610446559
fcc_to_bcc,pure,POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_09_H0C8,0,60,3.620100599251027,3.6998213024481332,4.379530019145363,2.7023726293004326,4.379530649963895
fcc_to_bcc,pure,POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_10_H0C10,0,60,3.6387608326846035,3.50165458128283,4.452349135698739,2.9025428181822077,4.452356181590867
fcc_to_bcc,pure,POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_11_H0C12,0,60,3.607392905418989,3.6577942839412954,4.480086196485056,2.7847147870551754,4.48009215448512
fcc_to_bcc,pure,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,bcc,POCC_12_H0C14,0,60,3.6041765360030524,3.773485589645493,4.380392638619859,2.7564378098870774,4.380398023878074
fcc_to_bcc,pure,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,bcc,POCC_13_H1C0,1,240,4.528687361456027,4.614244489334372,5.019405776311129,3.738823259738966,5.305447183923715
