architecture,fold,regime,evaluation_variant,endpoint,unit,systems,equal_system_estimate,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples
DPA2,fcc_to_bcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,42,1.0151808502108213,0.8902322359192463,1.149161018159489,10000
DPA2,fcc_to_bcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8287537061872035,0.7526990331320642,0.90660774432607,10000
DPA2,fcc_to_bcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.3309931666187178,0.2572771770037293,0.4095755945891443,10000
DPA2,bcc_to_fcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,41,0.7952045168868891,0.7392243364213122,0.8548982543447405,10000
DPA2,bcc_to_fcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,41,0.6941887781804392,0.6779965496252112,0.7090169621594886,10000
DPA2,bcc_to_fcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.2456846150925363,0.2160621946301286,0.2766672914829136,10000
DPA3,fcc_to_bcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8070105761079931,0.5257484562019712,1.194591697130326,10000
DPA3,fcc_to_bcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8307774816630665,0.7028172899745968,0.9765027647342784,10000
DPA3,fcc_to_bcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8962021154403731,0.4085852179761094,1.4779694155051672,10000
DPA3,bcc_to_fcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,41,0.4255297754163064,0.4048864407355236,0.4464153141678861,10000
DPA3,bcc_to_fcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,41,0.6718936538889471,0.6566599161456494,0.6857633194078117,10000
DPA3,bcc_to_fcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.3034258888476523,0.2417899861892791,0.3718152402434489,10000
DPA4,fcc_to_bcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,42,1.3442599673586575,0.8388676374807207,1.954117638499743,10000
DPA4,fcc_to_bcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,0.5156904437657345,0.4603472662666694,0.5727896011316688,10000
DPA4,fcc_to_bcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.5709537108963973,0.3365384152924304,0.8368205709995948,10000
DPA4,bcc_to_fcc,pure,primary,force_component_rmse_ev_a,eV/angstrom,41,0.5791902215082219,0.5479085901624194,0.609309817187783,10000
DPA4,bcc_to_fcc,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,41,1.0054332049979806,0.8035757765806444,1.2233265947370922,10000
DPA4,bcc_to_fcc,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.2105796175532092,0.1910502541581145,0.2302054613684625,10000
DPA2,equal_fold_mean,pure,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9051926835488552,0.836153343011918,0.9788336195272286,10000
DPA2,equal_fold_mean,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.7614712421838213,0.7223655596878512,0.8013962078188064,10000
DPA2,equal_fold_mean,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.2883388908556271,0.2484060920447555,0.3308149503609557,10000
DPA3,equal_fold_mean,pure,primary,force_component_rmse_ev_a,eV/angstrom,83,0.6162701757621498,0.4752276600942296,0.8116398934838597,10000
DPA3,equal_fold_mean,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.7513355677760067,0.686953486835927,0.8244391195206325,10000
DPA3,equal_fold_mean,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.5998140021440127,0.3535007924229725,0.8935985255088981,10000
DPA4,equal_fold_mean,pure,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9617250944334398,0.7094374057430719,1.266901591514668,10000
DPA4,equal_fold_mean,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.7605618243818575,0.6552277409073252,0.873275323304694,10000
DPA4,equal_fold_mean,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.3907666642248033,0.2728025129924701,0.5245627040241393,10000
