architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA2,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,1.0151808502108213,0.8287537061872035,0.1864271440236178,0.0933762823780695,0.2928730888641417,18.36393426697349,10.23039528144776,26.304778262792286,improvement,10000
DPA2,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,1.0151808502108213,0.3309931666187178,0.6841876835921035,0.6137945573372078,0.7653247384611522,67.39564516509735,62.98597463130912,71.90335584913183,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,41,0.7952045168868891,0.6941887781804392,0.1010157387064498,0.0362105369509743,0.1696565577493244,12.70311430094888,4.868372633912802,19.91595958353666,improvement,10000
DPA2,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.7952045168868891,0.2456846150925363,0.5495199017943527,0.5004750283909704,0.6046051991395017,69.10422289169631,65.57288369223815,72.4928027092843,improvement,10000
DPA3,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8070105761079931,0.8307774816630665,-0.0237669055550734,-0.2090289347319132,0.2372572286007147,-2.945055028856645,-38.2211341094381,20.1046375861808,unresolved,10000
DPA3,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,0.8070105761079931,0.8962021154403731,-0.08919153933238,-0.4050007600012141,0.1774629357014422,-11.052090514417808,-46.09562718432514,28.986230004914376,unresolved,10000
DPA3,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,41,0.4255297754163064,0.6718936538889471,-0.2463638784726406,-0.2701981616023905,-0.2214340909615143,-57.89580252794688,-66.32852117378033,-49.95146568402937,degradation,10000
DPA3,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.4255297754163064,0.3034258888476523,0.1221038865686541,0.058987865797338,0.1791640934721897,28.69455761331785,13.686881275325572,42.295016855966445,improvement,10000
DPA4,fcc_to_bcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,42,1.3442599673586575,0.5156904437657345,0.8285695235929232,0.3621856985919808,1.3984367075692656,61.63759568180723,42.8608214530232,71.92619027941748,improvement,10000
DPA4,fcc_to_bcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,42,1.3442599673586575,0.5709537108963973,0.7733062564622604,0.4343401972983204,1.1914927644204785,57.52654064241258,44.95041546213997,67.49765602991893,improvement,10000
DPA4,bcc_to_fcc,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,41,0.5791902215082219,1.0054332049979806,-0.4262429834897587,-0.6237352100746337,-0.2433193863454469,-73.59291777748152,-104.93401761217966,-42.88511851641226,degradation,10000
DPA4,bcc_to_fcc,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,41,0.5791902215082219,0.2105796175532092,0.3686106039550125,0.3267184833982789,0.4101582260819526,63.64240801495989,59.027903263690895,67.94718180019902,improvement,10000
