architecture,fold,regime,added_pocc_systems,added_pocc_frames,force_rmse_reduction_ev_a,force_rmse_reduction_ci_low_ev_a,force_rmse_reduction_ci_high_ev_a,relative_force_rmse_reduction_percent,force_rmse_reduction_per_1000_added_frames,force_rmse_reduction_per_1000_ci_low,force_rmse_reduction_per_1000_ci_high,direction,fraction_of_aimd_reduction
DPA2,fcc_to_bcc,pure_pocc_seed,29,29,0.1864271440236178,0.0933762823780695,0.2928730888641417,18.36393426697349,6.428522207710959,3.219871806140328,10.099072029797991,improvement,0.2724795381361487
DPA2,fcc_to_bcc,pure_pocc_aimd,29,15848,0.6841876835921035,0.6137945573372078,0.7653247384611522,67.39564516509735,0.043171862922268,0.0387300957431352,0.0482915660311176,improvement,1.0
DPA2,bcc_to_fcc,pure_pocc_seed,30,30,0.1010157387064498,0.0362105369509743,0.1696565577493244,12.70311430094888,3.367191290214996,1.2070178983658115,5.655218591644148,improvement,0.1838254417658071
DPA2,bcc_to_fcc,pure_pocc_aimd,30,22857,0.5495199017943527,0.5004750283909704,0.6046051991395017,69.10422289169631,0.0240416459637902,0.0218959193416008,0.0264516427851206,improvement,1.0
DPA3,fcc_to_bcc,pure_pocc_seed,29,29,-0.0237669055550734,-0.2090289347319132,0.2372572286007147,-2.945055028856645,-0.8195484674163254,-7.207894301100455,8.181283744852232,unresolved,0.2664704044012964
DPA3,fcc_to_bcc,pure_pocc_aimd,29,15848,-0.08919153933238,-0.4050007600012141,0.1774629357014422,-11.052090514417808,-0.005627936606031,-0.0255553230692336,0.0111978127020092,unresolved,1.0
DPA3,bcc_to_fcc,pure_pocc_seed,30,30,-0.2463638784726406,-0.2701981616023905,-0.2214340909615143,-57.89580252794688,-8.212129282421355,-9.006605386746351,-7.38113636538381,degradation,-2.0176579582839085
DPA3,bcc_to_fcc,pure_pocc_aimd,30,22857,0.1221038865686541,0.058987865797338,0.1791640934721897,28.69455761331785,0.0053420784253687,0.0025807352582289,0.0078384780798963,improvement,1.0
DPA4,fcc_to_bcc,pure_pocc_seed,29,29,0.8285695235929232,0.3621856985919808,1.3984367075692656,61.63759568180723,28.571362882514595,12.489162020413133,48.22195543342295,improvement,1.071463623459459
DPA4,fcc_to_bcc,pure_pocc_aimd,29,15848,0.7733062564622604,0.4343401972983204,1.1914927644204785,57.52654064241258,0.0487951953850492,0.0274066252712216,0.0751825318286521,improvement,1.0
DPA4,bcc_to_fcc,pure_pocc_seed,30,30,-0.4262429834897587,-0.6237352100746337,-0.2433193863454469,-73.59291777748152,-14.208099449658624,-20.791173669154457,-8.110646211514897,degradation,-1.1563503027758255
DPA4,bcc_to_fcc,pure_pocc_aimd,30,22857,0.3686106039550125,0.3267184833982789,0.4101582260819526,63.64240801495989,0.0161268147156237,0.0142940229863183,0.0179445345444263,improvement,1.0
