architecture,fold,comparison,baseline_regime,treatment_regime,evaluation_variant,endpoint,unit,systems,baseline_equal_system_estimate,treatment_equal_system_estimate,absolute_reduction,reduction_ci_low,reduction_ci_high,relative_reduction_percent,relative_reduction_ci_low,relative_reduction_ci_high,direction,bootstrap_resamples
DPA2,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9051926835488552,0.7614712421838213,0.1437214413650338,0.0860684196192363,0.2073039291239981,15.8774417841698,10.166916940395026,21.51353606827793,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.9051926835488552,0.2883388908556271,0.616853792693228,0.5725516236960876,0.665581461312577,68.14613108391691,65.18836479105516,71.09980562480439,improvement,10000
DPA2,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_mae_ev_a,eV/angstrom,83,0.6569068478157765,0.5734305214729758,0.0834763263428006,0.0472236210152608,0.1225305772097493,12.707483050353412,7.575663744394378,17.775433801255215,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_mae_ev_a,eV/angstrom,83,0.6569068478157765,0.2123258392105358,0.4445810086052406,0.4191331250817183,0.471834478945434,67.67793791212225,64.74341245979092,70.51002594501166,improvement,10000
DPA2,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_vector_rmse_ev_a,eV/angstrom,83,1.5678397185462338,1.318906879964964,0.2489328385812699,0.149074875707675,0.3590609378514219,15.8774417841698,10.16691694039501,21.51353606827791,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_vector_rmse_ev_a,eV/angstrom,83,1.5678397185462338,0.4994176087600033,1.0684221097862303,0.99168850219768,1.1528209075693223,68.14613108391691,65.18836479105516,71.09980562480439,improvement,10000
DPA2,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,energy_rmse_mev_atom,meV/atom,83,426.4864340063932,173.17111539554804,253.3153186108452,228.7972456713253,277.4694540815027,59.3958678195724,53.61489699489186,65.91412074609137,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,energy_rmse_mev_atom,meV/atom,83,426.4864340063932,132.80850389329515,293.67793011309806,268.74978845499,317.5897305129309,68.859852669709,59.599150815713855,79.68031361199374,improvement,10000
DPA2,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,energy_mae_mev_atom,meV/atom,83,422.3649378365743,167.57121082492876,254.7937270116456,230.4587394090336,278.74234435299246,60.32549205356457,54.47754264716832,66.89291835659414,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,energy_mae_mev_atom,meV/atom,83,422.3649378365743,126.63128979762922,295.7336480389451,270.84768318836336,319.39810298842207,70.01851279458555,60.755960303827656,80.70972624941133,improvement,10000
DPA2,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,virial_component_rmse_mev_atom,meV/atom,83,444.3912776499869,345.2420721078498,99.14920554213704,71.71378627419222,127.5224753862785,22.311240235509157,18.561192055821795,26.500630405505472,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,virial_component_rmse_mev_atom,meV/atom,83,444.3912776499869,278.0977923391,166.2934853108869,141.33471802160315,191.79288733048935,37.42051063429367,31.899687298350624,45.36891391877967,improvement,10000
DPA2,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,stress_component_rmse_gpa,GPa,83,3.81779119232498,2.983294843289486,0.8344963490354935,0.5990965719399199,1.0813017326512318,21.858092991390063,18.083520365812632,26.036546518023023,improvement,10000
DPA2,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,stress_component_rmse_gpa,GPa,83,3.81779119232498,2.413278365154797,1.4045128271701826,1.1847928474472051,1.6316784037557592,36.788623484535165,31.371756345739342,44.62034824936096,improvement,10000
DPA3,equal_fold_mean,pure_pocc_seed_vs_pure,pure,pure_pocc_seed,primary,force_component_rmse_ev_a,eV/angstrom,83,0.6162701757621498,0.7513355677760067,-0.1350653920138569,-0.2285794641254082,-0.0036788630035077,-21.916587452381528,-47.2354464560721,-0.4643301662042416,degradation,10000
DPA3,equal_fold_mean,pure_pocc_aimd_vs_pure,pure,pure_pocc_aimd,primary,force_component_rmse_ev_a,eV/angstrom,83,0.6162701757621498,0.5998140021440127,0.0164561736181371,-0.1448255725644706,0.1539840858009991,2.6702855769039187,-21.23101872341102,29.464685505527825,unresolved,10000
