architecture,fold,system_id,parent_family,structure,hnf_group,comparison,pure_coverage_distance_median,treatment_coverage_distance_median,coverage_distance_reduction,pure_force_component_rmse_ev_a,treatment_force_component_rmse_ev_a,force_component_rmse_reduction_ev_a
DPA2,bcc_to_fcc,POCC__fcc__POCC_01_H0C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_01_H0C0,0.0,pure_pocc_seed_vs_pure,3.797831784744021,2.9547787848723623,0.8430529998716585,0.7565444789984347,0.6969153969183194,0.0596290820801153
DPA2,bcc_to_fcc,POCC__fcc__POCC_02_H0C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_02_H0C1,0.0,pure_pocc_seed_vs_pure,3.613411109470228,3.00956030890246,0.6038508005677681,0.7537534423166206,0.6575778753871272,0.09617556692949336
DPA2,bcc_to_fcc,POCC__fcc__POCC_03_H0C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_03_H0C2,0.0,pure_pocc_seed_vs_pure,3.68521101986824,2.894957529469599,0.7902534903986411,0.7550875291904869,0.7315659272559115,0.02352160193457542
DPA2,bcc_to_fcc,POCC__fcc__POCC_04_H0C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_04_H0C3,0.0,pure_pocc_seed_vs_pure,3.656619899373652,2.8890393730533,0.7675805263203519,1.2212070237774828,0.7171070726468904,0.5040999511305924
DPA2,bcc_to_fcc,POCC__fcc__POCC_05_H0C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_05_H0C4,0.0,pure_pocc_seed_vs_pure,3.750967687948602,2.966243481945296,0.7847242060033057,1.0643064539160296,0.7204901029347933,0.3438163509812363
DPA2,bcc_to_fcc,POCC__fcc__POCC_06_H0C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_06_H0C5,0.0,pure_pocc_seed_vs_pure,3.753433696195695,2.867969675769885,0.8854640204258102,1.0020848797465918,0.7287920283766982,0.27329285136989356
DPA2,bcc_to_fcc,POCC__fcc__POCC_07_H0C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_07_H0C6,0.0,pure_pocc_seed_vs_pure,3.686280272313149,3.02028062478212,0.665999647531029,1.044958944293695,0.665582864489882,0.37937607980381305
DPA2,bcc_to_fcc,POCC__fcc__POCC_08_H0C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_08_H0C7,0.0,pure_pocc_seed_vs_pure,4.460461985632337,3.427094457151293,1.033367528481044,0.8156883866292847,0.5666306849022038,0.24905770172708086
DPA2,bcc_to_fcc,POCC__fcc__POCC_09_H0C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_09_H0C8,0.0,pure_pocc_seed_vs_pure,3.9364383302166073,3.169478698464788,0.7669596317518192,0.6867335118803558,0.6914179520329025,-0.004684440152546654
DPA2,bcc_to_fcc,POCC__fcc__POCC_10_H0C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_10_H0C10,0.0,pure_pocc_seed_vs_pure,3.861582018914048,3.2401455248476894,0.6214364940663586,0.7364059524101509,0.6924307420072585,0.04397521040289243
DPA2,bcc_to_fcc,POCC__fcc__POCC_11_H0C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,fcc,POCC_11_H0C12,0.0,pure_pocc_seed_vs_pure,3.9207517692476896,2.9301676436795057,0.990584125568184,0.7963583462308864,0.6045029391454279,0.19185540708545856
