figure_family,system_id,family,parent_family,source_frames
POCC-FCC,POCC__fcc__POCC_01_H0C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,263
POCC-BCC,POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,42
POCC-FCC,POCC__fcc__POCC_02_H0C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,233
POCC-BCC,POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,51
POCC-FCC,POCC__fcc__POCC_03_H0C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,363
POCC-BCC,POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,49
POCC-FCC,POCC__fcc__POCC_04_H0C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,348
POCC-BCC,POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,51
POCC-FCC,POCC__fcc__POCC_05_H0C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,239
POCC-BCC,POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,2
POCC-FCC,POCC__fcc__POCC_06_H0C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,218
POCC-BCC,POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,48
POCC-FCC,POCC__fcc__POCC_07_H0C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,286
POCC-BCC,POCC__bcc__POCC_07_H0C6__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,15
POCC-FCC,POCC__fcc__POCC_08_H0C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,100
POCC-BCC,POCC__bcc__POCC_08_H0C7__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,52
POCC-FCC,POCC__fcc__POCC_09_H0C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,161
POCC-BCC,POCC__bcc__POCC_09_H0C8__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,47
POCC-FCC,POCC__fcc__POCC_10_H0C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,158
POCC-BCC,POCC__bcc__POCC_10_H0C10__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,58
POCC-FCC,POCC__fcc__POCC_11_H0C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,144
POCC-BCC,POCC__bcc__POCC_11_H0C12__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,15
POCC-FCC,POCC__fcc__POCC_12_H0C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,113
POCC-BCC,POCC__bcc__POCC_12_H0C14__Hf32_Mo32_Ta32_Ti32_Zr32_n160,POCC,bcc,36
POCC-BCC,POCC__bcc__POCC_13_H1C0__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,315
POCC-FCC,POCC__fcc__POCC_13_H1C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,263
POCC-BCC,POCC__bcc__POCC_14_H1C1__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,1489
POCC-FCC,POCC__fcc__POCC_14_H1C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,318
POCC-BCC,POCC__bcc__POCC_15_H1C2__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,1152
POCC-FCC,POCC__fcc__POCC_15_H1C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,318
POCC-BCC,POCC__bcc__POCC_16_H1C3__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,3000
POCC-FCC,POCC__fcc__POCC_16_H1C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,331
POCC-BCC,POCC__bcc__POCC_17_H1C4__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,1562
POCC-FCC,POCC__fcc__POCC_17_H1C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,298
POCC-BCC,POCC__bcc__POCC_18_H1C5__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,282
POCC-FCC,POCC__fcc__POCC_18_H1C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,275
POCC-BCC,POCC__bcc__POCC_19_H1C6__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,1385
POCC-FCC,POCC__fcc__POCC_19_H1C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,326
POCC-BCC,POCC__bcc__POCC_20_H1C7__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,1485
POCC-FCC,POCC__fcc__POCC_20_H1C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,284
POCC-BCC,POCC__bcc__POCC_21_H1C8__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,1622
POCC-FCC,POCC__fcc__POCC_21_H1C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,227
POCC-BCC,POCC__bcc__POCC_22_H1C10__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,1452
POCC-FCC,POCC__fcc__POCC_22_H1C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,242
POCC-BCC,POCC__bcc__POCC_23_H1C12__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,1117
POCC-FCC,POCC__fcc__POCC_23_H1C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,212
POCC-BCC,POCC__bcc__POCC_24_H1C14__Hf20_Mo20_Ta20_Ti20_Zr20_n100,POCC,bcc,895
POCC-FCC,POCC__fcc__POCC_24_H1C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,150
POCC-FCC,POCC__fcc__POCC_25_H2C0__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,987
POCC-BCC,POCC__bcc__POCC_25_H2C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,43
POCC-FCC,POCC__fcc__POCC_26_H2C1__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,966
POCC-FCC,POCC__fcc__POCC_27_H2C2__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,955
POCC-FCC,POCC__fcc__POCC_28_H2C3__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,973
POCC-FCC,POCC__fcc__POCC_29_H2C4__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,831
POCC-FCC,POCC__fcc__POCC_30_H2C5__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,1011
POCC-FCC,POCC__fcc__POCC_31_H2C6__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,812
POCC-FCC,POCC__fcc__POCC_32_H2C7__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,904
POCC-FCC,POCC__fcc__POCC_33_H2C8__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,918
POCC-BCC,POCC__bcc__POCC_33_H2C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,96
POCC-FCC,POCC__fcc__POCC_34_H2C10__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,923
POCC-BCC,POCC__bcc__POCC_34_H2C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,192
POCC-FCC,POCC__fcc__POCC_35_H2C12__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,867
POCC-BCC,POCC__bcc__POCC_35_H2C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,158
POCC-FCC,POCC__fcc__POCC_36_H2C14__Hf18_Mo18_Ta18_Ti18_Zr18_n90,POCC,fcc,861
POCC-BCC,POCC__bcc__POCC_36_H2C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,158
POCC-FCC,POCC__fcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,229
POCC-BCC,POCC__bcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,463
POCC-FCC,POCC__fcc__POCC_38_H3C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,371
POCC-BCC,POCC__bcc__POCC_38_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,490
POCC-FCC,POCC__fcc__POCC_39_H3C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,227
POCC-BCC,POCC__bcc__POCC_39_H4C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,493
POCC-FCC,POCC__fcc__POCC_40_H3C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,228
POCC-BCC,POCC__bcc__POCC_40_H4C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,430
POCC-BCC,POCC__bcc__POCC_41_H4C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,563
POCC-BCC,POCC__bcc__POCC_42_H4C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,514
POCC-BCC,POCC__bcc__POCC_43_H4C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,533
POCC-BCC,POCC__bcc__POCC_44_H4C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,496
POCC-BCC,POCC__bcc__POCC_45_H4C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,542
POCC-BCC,POCC__bcc__POCC_46_H4C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,444
POCC-BCC,POCC__bcc__POCC_47_H4C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,477
POCC-BCC,POCC__bcc__POCC_48_H4C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,526
POCC-FCC,POCC__fcc__POCC_49_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,fcc,541
POCC-BCC,POCC__bcc__POCC_49_H4C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,POCC,bcc,483
PURE,PURE__A_cF8_227_a.A__Hf54_n54,PURE,pure,2997
PURE,PURE__A_cF8_227_a.A__Mo54_n54,PURE,pure,1477
PURE,PURE__A_cF8_227_a.A__Ta54_n54,PURE,pure,1389
PURE,PURE__A_cF8_227_a.A__Ti54_n54,PURE,pure,544
PURE,PURE__A_cF8_227_a.A__Zr54_n54,PURE,pure,1236
PURE,PURE__A_cI2_229_a.A__Mo125_n125,PURE,pure,242
PURE,PURE__A_cI2_229_a.A__Ta125_n125,PURE,pure,194
PURE,PURE__A_hP2_194_c-001.A__Hf150_n150,PURE,pure,956
PURE,PURE__A_hP2_194_c-001.A__Ti150_n150,PURE,pure,605
PURE,PURE__A_hP2_194_c-001.A__Zr150_n150,PURE,pure,234
PURE,PURE__A_hP4_194_bc-001.A__Hf108_n108,PURE,pure,1359
PURE,PURE__A_hP4_194_bc-001.A__Mo108_n108,PURE,pure,333
PURE,PURE__A_hP4_194_bc-001.A__Ta108_n108,PURE,pure,303
PURE,PURE__A_hP4_194_bc-001.A__Ti108_n108,PURE,pure,153
PURE,PURE__A_hP4_194_bc-001.A__Zr108_n108,PURE,pure,377
PURE,PURE__A_hR1_166_a-002.A__Hf64_n64,PURE,pure,3000
PURE,PURE__A_hR1_166_a-002.A__Ti125_n125,PURE,pure,170
PURE,PURE__A_oC8_64_f-001.A__Hf144_n144,PURE,pure,746
PURE,PURE__A_oC8_64_f-001.A__Mo180_n180,PURE,pure,327
PURE,PURE__A_oC8_64_f-001.A__Ta180_n180,PURE,pure,375
PURE,PURE__A_oC8_64_f-001.A__Zr144_n144,PURE,pure,238
PURE,PURE__A_oC8_64_f-003.A__Mo240_n240,PURE,pure,254
PURE,PURE__A_oC8_64_f-003.A__Ta240_n240,PURE,pure,261
PURE,PURE__A_oC8_64_f-003.A__Zr200_n200,PURE,pure,468
PURE,PURE__A_oF128_70_4h-001.A__Ti64_n64,PURE,pure,286
PURE,PURE__A_tI4_141_a-001.A__Hf54_n54,PURE,pure,3000
PURE,PURE__A_tI4_141_a-001.A__Mo128_n128,PURE,pure,485
PURE,PURE__A_tI4_141_a-001.A__Ta128_n128,PURE,pure,730
PURE,PURE__A_tI4_141_a-001.A__Ti128_n128,PURE,pure,277
PURE,PURE__A_tI4_141_a-001.A__Zr54_n54,PURE,pure,1775
