orientation,temperature_K,strain_bin,n_realization_pairs,strain_mean,stress_GPa_mean,stress_GPa_sd,stress_GPa_min,stress_GPa_max,curve_role
100,300,0,3,0.000450000000000035,0.03947062266666667,0.04012508551623451,0.004729057999999999,0.083389291,descriptive_equal_realization_mean_not_inferential_frames
100,300,1,3,0.0014500000000000001,0.09670239863333331,0.04825798561816946,0.04188172590000001,0.13276452999999996,descriptive_equal_realization_mean_not_inferential_frames
100,300,2,3,0.00245,0.15736125800000003,0.11405173907485451,0.028921523999999997,0.24678480000000005,descriptive_equal_realization_mean_not_inferential_frames
100,300,3,3,0.0034500000000000004,0.19279108,0.06919618436671489,0.13130706,0.2677247,descriptive_equal_realization_mean_not_inferential_frames
100,300,4,3,0.00445,0.3137754366666667,0.07665640223271653,0.26358800000000004,0.40201279999999995,descriptive_equal_realization_mean_not_inferential_frames
100,300,5,3,0.005450000000000001,0.3525182666666667,0.06422394359873372,0.28563980000000005,0.4137094,descriptive_equal_realization_mean_not_inferential_frames
100,300,6,3,0.00645,0.37756486666666667,0.04571848408732882,0.33264569999999993,0.42404280000000005,descriptive_equal_realization_mean_not_inferential_frames
100,300,7,3,0.007450000000000001,0.48063986666666664,0.032305285713847706,0.4442546,0.505954,descriptive_equal_realization_mean_not_inferential_frames
100,300,8,3,0.008450000000000001,0.5110381666666667,0.05792075802942617,0.4751948,0.5778603,descriptive_equal_realization_mean_not_inferential_frames
100,300,9,3,0.00945,0.6515931,0.06981170118196514,0.5770459000000001,0.7154319,descriptive_equal_realization_mean_not_inferential_frames
100,300,10,3,0.010450000000000001,0.6739657,0.10926741654953692,0.5507785999999999,0.7591828,descriptive_equal_realization_mean_not_inferential_frames
100,300,11,3,0.011450000000000002,0.7424360000000001,0.03943109325735213,0.6969049,0.7652193,descriptive_equal_realization_mean_not_inferential_frames
100,300,12,3,0.012449999999999998,0.8589607666666667,0.05711744991456927,0.7932352,0.8965685999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,13,3,0.013449999999999998,0.8125918333333333,0.0800466997412343,0.7208216000000001,0.8680237999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,14,3,0.01445,0.9190831999999999,0.05920855974840122,0.8507686,0.9555836,descriptive_equal_realization_mean_not_inferential_frames
100,300,15,3,0.01545,0.9699318333333333,0.08648672765056696,0.9149206,1.0696197,descriptive_equal_realization_mean_not_inferential_frames
100,300,16,3,0.01645,1.0422262333333332,0.09722965626167406,0.9340186000000001,1.1222517999999997,descriptive_equal_realization_mean_not_inferential_frames
100,300,17,3,0.01745,1.1059329666666666,0.08678344603381065,1.0150700000000001,1.187961,descriptive_equal_realization_mean_not_inferential_frames
100,300,18,3,0.01845,1.1729269999999998,0.06275223811944869,1.120212,1.2423389999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,19,3,0.019450000000000002,1.2274899666666668,0.0656945645727508,1.1804970000000001,1.302557,descriptive_equal_realization_mean_not_inferential_frames
100,300,20,3,0.02045,1.2578773333333333,0.0598796823750205,1.1919499999999998,1.3088899999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,21,3,0.02145,1.357361,0.048439279835687084,1.321242,1.412406,descriptive_equal_realization_mean_not_inferential_frames
100,300,22,3,0.02245,1.4010876666666665,0.11969785689532342,1.262939,1.473875,descriptive_equal_realization_mean_not_inferential_frames
100,300,23,3,0.023450000000000002,1.445339,0.0697059088456639,1.369643,1.506883,descriptive_equal_realization_mean_not_inferential_frames
100,300,24,3,0.02445,1.5181983333333333,0.043014114454831484,1.4726879999999998,1.558182,descriptive_equal_realization_mean_not_inferential_frames
100,300,25,3,0.02545,1.5851210000000002,0.11867578666686816,1.496085,1.7198520000000002,descriptive_equal_realization_mean_not_inferential_frames
100,300,26,3,0.02644999999999999,1.6539726666666665,0.1939574075469491,1.467829,1.854898,descriptive_equal_realization_mean_not_inferential_frames
100,300,27,3,0.027449999999999992,1.688502,0.06523128332326439,1.6131920000000002,1.7273500000000002,descriptive_equal_realization_mean_not_inferential_frames
100,300,28,3,0.028449999999999993,1.8084566666666666,0.048728772017498326,1.761958,1.8591449999999998,descriptive_equal_realization_mean_not_inferential_frames
100,300,29,3,0.029449999999999994,1.808331,0.14364087878803877,1.6491209999999998,1.9282080000000001,descriptive_equal_realization_mean_not_inferential_frames
100,300,30,3,0.030449999999999994,1.8715780000000002,0.05685161667885953,1.8070230000000003,1.91418,descriptive_equal_realization_mean_not_inferential_frames
100,300,31,3,0.03144999999999999,1.9174856666666669,0.12197112767509113,1.785255,2.0255920000000005,descriptive_equal_realization_mean_not_inferential_frames
100,300,32,3,0.03244999999999999,1.9677573333333331,0.10063218487806634,1.8527339999999999,2.039554,descriptive_equal_realization_mean_not_inferential_frames
100,300,33,3,0.033449999999999994,2.025836333333333,0.028442646507196384,2.00787,2.058629,descriptive_equal_realization_mean_not_inferential_frames
100,300,34,3,0.034449999999999995,2.109172333333333,0.15142268677557308,1.948002,2.248468,descriptive_equal_realization_mean_not_inferential_frames
100,300,35,3,0.035449999999999995,2.14399,0.10897348828040722,2.048132,2.2625140000000004,descriptive_equal_realization_mean_not_inferential_frames
100,300,36,3,0.036449999999999996,2.189902333333333,0.06593865817813827,2.1161019999999997,2.243021,descriptive_equal_realization_mean_not_inferential_frames
100,300,37,3,0.03745,2.2838826666666665,0.09986794235555954,2.1750529999999997,2.371323,descriptive_equal_realization_mean_not_inferential_frames
100,300,38,3,0.03845,2.2914196666666666,0.11834327019874587,2.212319,2.427471,descriptive_equal_realization_mean_not_inferential_frames
100,300,39,3,0.03945,2.382376666666667,0.0888019839887224,2.2798410000000002,2.434432,descriptive_equal_realization_mean_not_inferential_frames
100,300,40,3,0.04045,2.4112009999999997,0.057714578600211716,2.3513919999999997,2.466564,descriptive_equal_realization_mean_not_inferential_frames
100,300,41,3,0.04145,2.4803719999999996,0.07263735878320478,2.409191,2.554383,descriptive_equal_realization_mean_not_inferential_frames
100,300,42,3,0.04245000000000001,2.5036359999999998,0.07684073577862177,2.455451,2.5922509999999996,descriptive_equal_realization_mean_not_inferential_frames
100,300,43,3,0.04345000000000001,2.6135983333333335,0.0872597663894039,2.513354,2.6725280000000002,descriptive_equal_realization_mean_not_inferential_frames
100,300,44,3,0.04445000000000001,2.6119333333333334,0.12598055617567874,2.5224159999999998,2.755995,descriptive_equal_realization_mean_not_inferential_frames
100,300,45,3,0.04545000000000001,2.661632666666667,0.08488424120726605,2.60163,2.758754,descriptive_equal_realization_mean_not_inferential_frames
100,300,46,3,0.04645,2.7331636666666665,0.09114193916267807,2.6286180000000003,2.795901,descriptive_equal_realization_mean_not_inferential_frames
100,300,47,3,0.04745,2.7537783333333334,0.11808390727501084,2.634005,2.8700970000000003,descriptive_equal_realization_mean_not_inferential_frames
100,300,48,3,0.04845,2.8486233333333337,0.10239863916250702,2.730405,2.9096819999999997,descriptive_equal_realization_mean_not_inferential_frames
100,300,49,3,0.04945,2.8020866666666664,0.09319810336231832,2.7253909999999997,2.905812,descriptive_equal_realization_mean_not_inferential_frames
100,300,50,3,0.050449999999999995,2.8818309999999996,0.07487221175442872,2.7990989999999996,2.9449319999999997,descriptive_equal_realization_mean_not_inferential_frames
100,300,51,3,0.051449999999999996,2.9396283333333333,0.0899915280253273,2.881733,3.0433059999999994,descriptive_equal_realization_mean_not_inferential_frames
100,300,52,3,0.05245,3.020462666666667,0.09080227897103316,2.954359,3.123997,descriptive_equal_realization_mean_not_inferential_frames
100,300,53,3,0.05345,3.0297749999999994,0.08434574682223178,2.9449739999999998,3.113658,descriptive_equal_realization_mean_not_inferential_frames
100,300,54,3,0.05445,3.0849816666666663,0.09274460964030959,3.0084569999999995,3.1881250000000003,descriptive_equal_realization_mean_not_inferential_frames
100,300,55,3,0.05545,3.139792,0.07234963902466972,3.0798389999999998,3.220154,descriptive_equal_realization_mean_not_inferential_frames
100,300,56,3,0.05645,3.2138943333333336,0.1553648790632342,3.0688619999999998,3.377857,descriptive_equal_realization_mean_not_inferential_frames
100,300,57,3,0.05744999999999998,3.2226879999999998,0.1327543575593663,3.0782669999999994,3.339403,descriptive_equal_realization_mean_not_inferential_frames
100,300,58,3,0.05844999999999998,3.2562129999999994,0.07332858855862429,3.1820829999999996,3.3287129999999996,descriptive_equal_realization_mean_not_inferential_frames
100,300,59,3,0.05944999999999998,3.2571046666666668,0.04690315871381542,3.2041759999999995,3.29351,descriptive_equal_realization_mean_not_inferential_frames
100,300,60,3,0.06044999999999998,3.3237403333333333,0.07645397125940119,3.235973,3.375863,descriptive_equal_realization_mean_not_inferential_frames
100,300,61,3,0.061449999999999984,3.395588333333334,0.055352470824104785,3.362331,3.4594860000000005,descriptive_equal_realization_mean_not_inferential_frames
100,300,62,3,0.062449999999999985,3.3579866666666667,0.15102599335986283,3.2397830000000005,3.528128,descriptive_equal_realization_mean_not_inferential_frames
100,300,63,3,0.06344999999999999,3.449199666666667,0.08007693107464432,3.36002,3.514945,descriptive_equal_realization_mean_not_inferential_frames
100,300,64,3,0.06444999999999998,3.4443756666666663,0.09417594600710592,3.336528,3.510373,descriptive_equal_realization_mean_not_inferential_frames
100,300,65,3,0.06544999999999998,3.4722303333333335,0.1142067598977106,3.364353,3.5918579999999998,descriptive_equal_realization_mean_not_inferential_frames
100,300,66,3,0.06644999999999998,3.5592183333333334,0.1704713362543199,3.4015859999999996,3.740135,descriptive_equal_realization_mean_not_inferential_frames
100,300,67,3,0.06744999999999998,3.6223346666666667,0.05484568553070833,3.5693439999999996,3.678864,descriptive_equal_realization_mean_not_inferential_frames
100,300,68,3,0.06844999999999998,3.651253666666666,0.06557004911034747,3.5857299999999994,3.71687,descriptive_equal_realization_mean_not_inferential_frames
100,300,69,3,0.06944999999999998,3.68319,0.0803362675819579,3.6263980000000005,3.7751069999999998,descriptive_equal_realization_mean_not_inferential_frames
100,300,70,3,0.07044999999999998,3.698741666666667,0.13816697932694788,3.561744,3.8380489999999994,descriptive_equal_realization_mean_not_inferential_frames
100,300,71,3,0.07144999999999999,3.694430333333333,0.0758754996974213,3.6310659999999997,3.7785130000000002,descriptive_equal_realization_mean_not_inferential_frames
100,300,72,3,0.07244999999999999,3.7325703333333333,0.0880222080178253,3.6677910000000002,3.832788,descriptive_equal_realization_mean_not_inferential_frames
100,300,73,3,0.07344999999999999,3.7851456666666663,0.11613921226413321,3.6511629999999995,3.8571169999999997,descriptive_equal_realization_mean_not_inferential_frames
100,300,74,3,0.07444999999999999,3.771216666666666,0.08474316503608609,3.686668,3.856153,descriptive_equal_realization_mean_not_inferential_frames
100,300,75,3,0.07544999999999999,3.8070089999999994,0.06899550996985201,3.753183,3.884788999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,76,3,0.07644999999999999,3.909390333333333,0.010271604662044603,3.90008,3.9204090000000003,descriptive_equal_realization_mean_not_inferential_frames
100,300,77,3,0.07744999999999999,3.9003686666666666,0.06337907008100777,3.8287570000000004,3.949241,descriptive_equal_realization_mean_not_inferential_frames
100,300,78,3,0.07844999999999999,3.8340556666666665,0.15040712020823152,3.685088999999999,3.9858629999999997,descriptive_equal_realization_mean_not_inferential_frames
100,300,79,3,0.07944999999999999,3.9453309999999995,0.08486045685123295,3.8688269999999996,4.036607999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,80,3,0.08045,3.987909333333333,0.08302183791228282,3.896705,4.059084,descriptive_equal_realization_mean_not_inferential_frames
100,300,81,3,0.08145,3.958306333333333,0.025696223970329456,3.9289539999999996,3.9767409999999996,descriptive_equal_realization_mean_not_inferential_frames
100,300,82,3,0.08245,4.063329,0.05058460573138853,4.005137,4.096792000000001,descriptive_equal_realization_mean_not_inferential_frames
100,300,83,3,0.08344999999999998,4.03896,0.0545340850844679,3.977306,4.08088,descriptive_equal_realization_mean_not_inferential_frames
100,300,84,3,0.08444999999999998,3.998162333333333,0.047628636473589385,3.945234,4.037566,descriptive_equal_realization_mean_not_inferential_frames
100,300,85,3,0.08544999999999998,4.109182999999999,0.10199604048687373,3.9914379999999996,4.1703529999999995,descriptive_equal_realization_mean_not_inferential_frames
100,300,86,3,0.08644999999999999,4.111851000000001,0.07608709157275019,4.029738999999999,4.179971,descriptive_equal_realization_mean_not_inferential_frames
100,300,87,3,0.08744999999999999,4.030136,0.056805500825184534,3.981298,4.0924760000000004,descriptive_equal_realization_mean_not_inferential_frames
100,300,88,3,0.08844999999999999,4.093793999999999,0.02513435061822728,4.070014,4.120092999999999,descriptive_equal_realization_mean_not_inferential_frames
100,300,89,3,0.08944999999999999,4.156850666666666,0.05175764382517174,4.1043199999999995,4.207799,descriptive_equal_realization_mean_not_inferential_frames
100,300,90,3,0.09044999999999999,4.118402666666666,0.09679909275056867,4.0300080000000005,4.221843999999999,descriptive_equal_realization_mean_not_inferential_frames
