contrast_family,contrast_id,difference_definition,fixed_orientation,fixed_temperature_K,endpoint,n_pairs_planned,n_pairs_eligible,status,mean_difference_b_minus_a,sd_difference,ci95_low,ci95_high
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,tangent_modulus_GPa,3,3,estimated,2.334928365437387,14.546004003302272,-33.79934873579599,38.46920546667076
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,yield_0p2_GPa,3,3,estimated,-1.9753220886628595,1.361891152769261,-5.3584472606833415,1.407803083357623
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,uts_GPa,3,3,estimated,-1.1050653333333331,0.13865441387252395,-1.4495019917476615,-0.7606286749190048
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,strain_at_uts,3,3,estimated,-0.012000000000000005,0.017776388834631177,-0.05615899788450553,0.03215899788450552
temperature,T1200_minus_T300__100,1200 K - 300 K,100,,work_to_20pct_GJ_m3,3,3,estimated,-0.1640506573044333,0.011381461014274178,-0.19232377382587124,-0.13577754078299537
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,tangent_modulus_GPa,3,3,estimated,-3.8915451593328427,27.228689007343164,-71.53135836653942,63.748268047873744
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,yield_0p2_GPa,3,3,estimated,-8.921347834042784,0.8776396129028597,-11.10152549386273,-6.741170174222837
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,uts_GPa,3,3,estimated,-2.358304333333334,0.12146233000125282,-2.6600334878578566,-2.056575178808811
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,strain_at_uts,3,3,estimated,-0.011333333333333334,0.003214550253664329,-0.019318718845077795,-0.0033479478215888737
temperature,T1200_minus_T300__110,1200 K - 300 K,110,,work_to_20pct_GJ_m3,3,3,estimated,-0.3435271988489667,0.04931184287013114,-0.46602460736317297,-0.22102979033476045
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,tangent_modulus_GPa,3,3,estimated,22.448760408888205,11.99346528610665,-7.344659004018247,52.24217982179466
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,yield_0p2_GPa,3,3,estimated,-3.6534449026694378,4.163517604460447,-13.996195997834995,6.689306192496119
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,uts_GPa,3,3,estimated,-2.118785666666667,0.32571458776255807,-2.9279055574252792,-1.309665775908055
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,strain_at_uts,3,3,estimated,-0.018333333333333337,0.00723417813807023,-0.03630402806030922,-0.00036263860635745576
temperature,T1200_minus_T300__111,1200 K - 300 K,111,,work_to_20pct_GJ_m3,3,3,estimated,-0.32624325722800007,0.04760403450217898,-0.44449823457077403,-0.2079882798852261
orientation,110_minus_100__T300,[110] - [100],,300,tangent_modulus_GPa,3,3,estimated,20.831123810705957,15.420016396031135,-17.474320435923982,59.13656805733589
orientation,110_minus_100__T300,[110] - [100],,300,yield_0p2_GPa,3,3,estimated,6.895353963627312,1.7329230243451776,2.590534527129127,11.200173400125497
orientation,110_minus_100__T300,[110] - [100],,300,uts_GPa,3,3,estimated,5.417088333333333,0.5784281942854559,3.980193042315147,6.853983624351519
orientation,110_minus_100__T300,[110] - [100],,300,strain_at_uts,3,3,estimated,0.0006666666666666626,0.00832666399786453,-0.020017913384280286,0.02135124671761361
orientation,110_minus_100__T300,[110] - [100],,300,work_to_20pct_GJ_m3,3,3,estimated,0.5223920182954002,0.055254439317848916,0.38513238183914944,0.6596516547516509
orientation,111_minus_100__T300,[111] - [100],,300,tangent_modulus_GPa,3,3,estimated,34.27736160935729,26.279288211087533,-31.004009276216188,99.55873249493078
orientation,111_minus_100__T300,[111] - [100],,300,yield_0p2_GPa,3,3,estimated,1.9696759357381295,5.423743323101649,-11.503649392539433,15.443001264015692
orientation,111_minus_100__T300,[111] - [100],,300,uts_GPa,3,3,estimated,4.811918000000001,0.45230552663105794,3.6883287840204417,5.935507215979561
orientation,111_minus_100__T300,[111] - [100],,300,strain_at_uts,3,3,estimated,0.015999999999999997,0.010999999999999989,-0.011325514830281259,0.043325514830281256
orientation,111_minus_100__T300,[111] - [100],,300,work_to_20pct_GJ_m3,3,3,estimated,0.5436896578930335,0.010820989359249689,0.5168088301462613,0.5705704856398056
orientation,111_minus_110__T300,[111] - [110],,300,tangent_modulus_GPa,3,3,estimated,13.446237798651339,22.527051668876314,-42.51406078865706,69.40653638595974
orientation,111_minus_110__T300,[111] - [110],,300,yield_0p2_GPa,3,3,estimated,-4.925678027889183,3.877153559674852,-14.55706140008673,4.705705344308364
orientation,111_minus_110__T300,[111] - [110],,300,uts_GPa,3,3,estimated,-0.605170333333333,0.13046959968258345,-0.9292747861539963,-0.2810658805126698
orientation,111_minus_110__T300,[111] - [110],,300,strain_at_uts,3,3,estimated,0.015333333333333332,0.003785938897200175,0.00592853974406223,0.024738126922604436
orientation,111_minus_110__T300,[111] - [110],,300,work_to_20pct_GJ_m3,3,3,estimated,0.02129763959763335,0.06515372271602342,-0.14055318006825143,0.1831484592635181
orientation,110_minus_100__T1200,[110] - [100],,1200,tangent_modulus_GPa,3,3,estimated,14.604650285935726,30.192023783334893,-60.39649459112997,89.60579516300143
orientation,110_minus_100__T1200,[110] - [100],,1200,yield_0p2_GPa,3,3,estimated,-0.05067178175261144,0.27324517963544376,-0.7294504370645378,0.6281068735593149
orientation,110_minus_100__T1200,[110] - [100],,1200,uts_GPa,3,3,estimated,4.163849333333332,0.3386913443983082,3.3224933920384347,5.0052052746282305
orientation,110_minus_100__T1200,[110] - [100],,1200,strain_at_uts,3,3,estimated,0.0013333333333333346,0.009504384952922171,-0.02227686775610094,0.024943534422767612
