task_id,run_id,profile,orientation,temperature_K,chemical_seed,velocity_seed,strain_rate_ps_inverse,strain_rate_s_inverse,tangent_modulus_GPa,elastic_fit_intercept_GPa,elastic_fit_R2,yield_0p2_status,yield_0p2_GPa,yield_0p2_strain,uts_GPa,strain_at_uts,work_to_20pct_GJ_m3,mean_temperature_K,final_lateral_y_strain,final_lateral_z_strain,endpoint_curve_rule
1,compact_100_chem20260825_T300_rate0p005,compact,100,300,20260825,20260901,0.005,5000000000.0,47.41613317166865,0.0366954562122449,0.2510425020945759,resolved,4.066676631558961,0.0869917719092844,4.3097389999999995,0.09445,0.541021910527,299.83046276861575,-0.0791464,-0.0805469,0.001-strain bin means; 0-0.005 raw tangent fit
2,compact_100_chem20262843_T300_rate0p005,compact,100,300,20262843,20260903,0.005,5000000000.0,67.351065547514,0.057832222601802145,0.45685075675517084,resolved,1.5083402955664227,0.023536527465053005,4.31397,0.11245000000000001,0.5472006035505,300.3593378310844,-0.0748991,-0.0892035,0.001-strain bin means; 0-0.005 raw tangent fit
3,compact_100_chem20264861_T300_rate0p005,compact,100,300,20264861,20260907,0.005,5000000000.0,66.2259042407267,-0.059148664935151495,0.49836428944850164,resolved,1.2780296874545456,0.022191167908091426,4.358695999999999,0.10945,0.5339445394589,300.0703713143429,-0.0815908,-0.0810667,0.001-strain bin means; 0-0.005 raw tangent fit
4,compact_100_chem20260825_T1200_rate0p005,compact,100,1200,20260825,20260901,0.005,5000000000.0,62.47121930372147,0.021503946775510253,0.137486962798558,resolved,0.5241276474097719,0.01004568417643034,3.256458,0.10245,0.3672633057735,1200.0237481259373,-0.0742298,-0.0862198,0.001-strain bin means; 0-0.005 raw tangent fit
5,compact_100_chem20262843_T1200_rate0p005,compact,100,1200,20262843,20260903,0.005,5000000000.0,72.82509511312432,-0.18358504444947865,0.3630785417879866,resolved,0.20439349028451714,0.0073275390046703215,3.3142139999999998,0.09445,0.3956755868080001,1199.9597651174413,-0.0812552,-0.0821369,0.001-strain bin means; 0-0.005 raw tangent fit
6,compact_100_chem20264861_T1200_rate0p005,compact,100,1200,20264861,20260907,0.005,5000000000.0,52.701573639375724,0.019110839539591844,0.11521263389884151,resolved,0.19855921089706116,0.005404990761478806,3.096537,0.08345,0.3670761890416,1200.085632183908,-0.0803432,-0.0780502,0.001-strain bin means; 0-0.005 raw tangent fit
7,compact_110_chem20260825_T300_rate0p005,compact,110,300,20260825,20260901,0.005,5000000000.0,83.82325030769364,0.05381024756409729,0.61885206086613,resolved,9.106452124527454,0.10999678900225693,9.737668,0.10445,1.0245677738095003,300.0603048475762,-0.0230631,-0.122655,0.001-strain bin means; 0-0.005 raw tangent fit
8,compact_110_chem20262843_T300_rate0p005,compact,110,300,20262843,20260903,0.005,5000000000.0,87.86535255204066,-0.06541946628206459,0.5324479833402834,resolved,9.980053932275473,0.11632803837676324,10.30399,0.11045,1.045183231422,300.72939680159914,-0.0214689,-0.124757,0.001-strain bin means; 0-0.005 raw tangent fit
9,compact_110_chem20264861_T300_rate0p005,compact,110,300,20264861,20260907,0.005,5000000000.0,71.79787153229292,-0.106159462767347,0.610773904835354,resolved,8.45260244865894,0.12120634593710436,9.192012,0.10345,1.1195921031911,300.6808890554723,-0.0185712,-0.129095,0.001-strain bin means; 0-0.005 raw tangent fit
10,compact_110_chem20260825_T1200_rate0p005,compact,110,1200,20260825,20260901,0.005,5000000000.0,94.35784594957981,-0.1179458065714286,0.4937723958571678,resolved,0.18823216423912753,0.0052448596905673595,7.337967000000001,0.09445,0.6293190840210001,1199.0158770614694,-0.0260083,-0.122669,0.001-strain bin means; 0-0.005 raw tangent fit
11,compact_110_chem20262843_T1200_rate0p005,compact,110,1200,20262843,20260903,0.005,5000000000.0,52.567424873949555,0.06074630057142855,0.06737890750703424,resolved,0.17950672882062219,0.00425920193986993,7.850332999999999,0.09545,0.74814014776,1200.148215892054,-0.0211219,-0.130785,0.001-strain bin means; 0-0.005 raw tangent fit
12,compact_110_chem20264861_T1200_rate0p005,compact,110,1200,20264861,20260907,0.005,5000000000.0,84.88656809049932,-0.03346955959879809,0.3019527142792142,resolved,0.4073261102737662,0.007192761113897582,6.970456999999999,0.09445,0.7813022800947,1200.5129985007497,-0.0175492,-0.130441,0.001-strain bin means; 0-0.005 raw tangent fit
13,compact_111_chem20260825_T300_rate0p005,compact,111,300,20260825,20260901,0.005,5000000000.0,108.04375484162988,-0.04357661651584031,0.8041450528482595,resolved,1.5551112292991436,0.016796670554057792,9.096037,0.12144999999999999,1.0958936760050002,300.0106911544228,-0.0519896,-0.0920408,0.001-strain bin means; 0-0.005 raw tangent fit
14,compact_111_chem20262843_T300_rate0p005,compact,111,300,20262843,20260903,0.005,5000000000.0,75.42069052100841,-0.07379455542857145,0.7000297808844331,resolved,9.5075481803223,0.1290386503963656,9.590459,0.12845,1.0901276818595,300.1574302848575,-0.0774853,-0.0710239,0.001-strain bin means; 0-0.005 raw tangent fit
15,compact_111_chem20264861_T300_rate0p005,compact,111,300,20264861,20260907,0.005,5000000000.0,100.36074242534295,0.06582746785820909,0.5592152706479107,resolved,1.699415012172875,0.018277156832811104,8.731663000000001,0.11445000000000001,1.067214669351,300.10223538230883,-0.0391806,-0.109592,0.001-strain bin means; 0-0.005 raw tangent fit
16,compact_111_chem20260825_T1200_rate0p005,compact,111,1200,20260825,20260901,0.005,5000000000.0,143.78213786606332,-0.31780946662594256,0.712219561523688,resolved,0.27142941992781255,0.006098136912546438,6.851344,0.09945,0.7478078458830001,1200.1477711144428,-0.00761357,-0.142178,0.001-strain bin means; 0-0.005 raw tangent fit
17,compact_111_chem20262843_T1200_rate0p005,compact,111,1200,20262843,20260903,0.005,5000000000.0,87.8508201809955,-0.38779899358974484,0.4519448663585016,resolved,1.0466472315788893,0.01832820527131452,7.2277059999999995,0.10545,0.73112138199,1200.6169865067466,-0.00807086,-0.143106,0.001-strain bin means; 0-0.005 raw tangent fit
18,compact_111_chem20264861_T1200_rate0p005,compact,111,1200,20264861,20260907,0.005,5000000000.0,119.53851096758703,-0.218873653567347,0.4959156120618352,resolved,0.48366306227930245,0.007877074343323073,6.9827520000000005,0.10445,0.7955770276585,1200.2388455772114,-0.0531758,-0.097026,0.001-strain bin means; 0-0.005 raw tangent fit
