system_id,evaluation_role,evaluation_fold,family,variant,parent_family,structure,hnf_group,element,natoms,frames,path
PURE__A_cF8_227_a.A__Hf54_n54,pure_test,shared,PURE,independent,pure,A_cF8_227_a.A,,Hf,54,30,dataset/canonical/PURE/independent/PURE__A_cF8_227_a.A__Hf54_n54
PURE__A_cF8_227_a.A__Mo54_n54,pure_test,shared,PURE,independent,pure,A_cF8_227_a.A,,Mo,54,15,dataset/canonical/PURE/independent/PURE__A_cF8_227_a.A__Mo54_n54
PURE__A_cF8_227_a.A__Ta54_n54,pure_test,shared,PURE,independent,pure,A_cF8_227_a.A,,Ta,54,14,dataset/canonical/PURE/independent/PURE__A_cF8_227_a.A__Ta54_n54
PURE__A_cF8_227_a.A__Ti54_n54,pure_test,shared,PURE,independent,pure,A_cF8_227_a.A,,Ti,54,6,dataset/canonical/PURE/independent/PURE__A_cF8_227_a.A__Ti54_n54
PURE__A_cF8_227_a.A__Zr54_n54,pure_test,shared,PURE,independent,pure,A_cF8_227_a.A,,Zr,54,13,dataset/canonical/PURE/independent/PURE__A_cF8_227_a.A__Zr54_n54
POCC__fcc__POCC_01_H0C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_01_H0C0,0,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_01_H0C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_02_H0C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_02_H0C1,0,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_02_H0C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_03_H0C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_03_H0C2,0,,135,4,dataset/canonical/POCC/independent/POCC__fcc__POCC_03_H0C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_04_H0C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_04_H0C3,0,,135,4,dataset/canonical/POCC/independent/POCC__fcc__POCC_04_H0C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_05_H0C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_05_H0C4,0,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_05_H0C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_06_H0C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_06_H0C5,0,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_06_H0C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_07_H0C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_07_H0C6,0,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_07_H0C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_08_H0C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_08_H0C7,0,,135,1,dataset/canonical/POCC/independent/POCC__fcc__POCC_08_H0C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_09_H0C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_09_H0C8,0,,135,2,dataset/canonical/POCC/independent/POCC__fcc__POCC_09_H0C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_10_H0C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_10_H0C10,0,,135,2,dataset/canonical/POCC/independent/POCC__fcc__POCC_10_H0C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_11_H0C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_11_H0C12,0,,135,2,dataset/canonical/POCC/independent/POCC__fcc__POCC_11_H0C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_12_H0C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_12_H0C14,0,,135,2,dataset/canonical/POCC/independent/POCC__fcc__POCC_12_H0C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_13_H1C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_13_H1C0,1,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_13_H1C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_14_H1C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_14_H1C1,1,,135,4,dataset/canonical/POCC/independent/POCC__fcc__POCC_14_H1C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_15_H1C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_15_H1C2,1,,135,4,dataset/canonical/POCC/independent/POCC__fcc__POCC_15_H1C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_16_H1C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_16_H1C3,1,,135,4,dataset/canonical/POCC/independent/POCC__fcc__POCC_16_H1C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_17_H1C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_17_H1C4,1,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_17_H1C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_18_H1C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_18_H1C5,1,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_18_H1C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_19_H1C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_19_H1C6,1,,135,4,dataset/canonical/POCC/independent/POCC__fcc__POCC_19_H1C6__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_20_H1C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_20_H1C7,1,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_20_H1C7__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_21_H1C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_21_H1C8,1,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_21_H1C8__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_22_H1C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_22_H1C10,1,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_22_H1C10__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_23_H1C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_23_H1C12,1,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_23_H1C12__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_24_H1C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_24_H1C14,1,,135,2,dataset/canonical/POCC/independent/POCC__fcc__POCC_24_H1C14__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_25_H2C0__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_25_H2C0,2,,90,10,dataset/canonical/POCC/independent/POCC__fcc__POCC_25_H2C0__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_26_H2C1__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_26_H2C1,2,,90,10,dataset/canonical/POCC/independent/POCC__fcc__POCC_26_H2C1__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_27_H2C2__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_27_H2C2,2,,90,10,dataset/canonical/POCC/independent/POCC__fcc__POCC_27_H2C2__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_28_H2C3__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_28_H2C3,2,,90,10,dataset/canonical/POCC/independent/POCC__fcc__POCC_28_H2C3__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_29_H2C4__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_29_H2C4,2,,90,9,dataset/canonical/POCC/independent/POCC__fcc__POCC_29_H2C4__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_30_H2C5__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_30_H2C5,2,,90,11,dataset/canonical/POCC/independent/POCC__fcc__POCC_30_H2C5__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_31_H2C6__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_31_H2C6,2,,90,9,dataset/canonical/POCC/independent/POCC__fcc__POCC_31_H2C6__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_32_H2C7__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_32_H2C7,2,,90,10,dataset/canonical/POCC/independent/POCC__fcc__POCC_32_H2C7__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_33_H2C8__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_33_H2C8,2,,90,10,dataset/canonical/POCC/independent/POCC__fcc__POCC_33_H2C8__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_34_H2C10__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_34_H2C10,2,,90,10,dataset/canonical/POCC/independent/POCC__fcc__POCC_34_H2C10__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_35_H2C12__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_35_H2C12,2,,90,9,dataset/canonical/POCC/independent/POCC__fcc__POCC_35_H2C12__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_36_H2C14__Hf18_Mo18_Ta18_Ti18_Zr18_n90,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_36_H2C14,2,,90,9,dataset/canonical/POCC/independent/POCC__fcc__POCC_36_H2C14__Hf18_Mo18_Ta18_Ti18_Zr18_n90
POCC__fcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_37_H3C0,3,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_37_H3C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_38_H3C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_38_H3C1,3,,135,4,dataset/canonical/POCC/independent/POCC__fcc__POCC_38_H3C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_39_H3C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_39_H3C2,3,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_39_H3C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_40_H3C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_40_H3C3,3,,135,3,dataset/canonical/POCC/independent/POCC__fcc__POCC_40_H3C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_49_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,independent,fcc,POCC_49_H4C0,4,,135,6,dataset/canonical/POCC/independent/POCC__fcc__POCC_49_H4C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
