system_id,evaluation_role,evaluation_fold,family,variant,parent_family,structure,hnf_group,element,natoms,frames,path
PURE__A_cF8_227_a.A__Hf54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Hf,54,2997,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Hf54_n54
PURE__A_cF8_227_a.A__Mo54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Mo,54,1477,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Mo54_n54
PURE__A_cF8_227_a.A__Ta54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Ta,54,1389,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Ta54_n54
PURE__A_cF8_227_a.A__Ti54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Ti,54,544,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Ti54_n54
PURE__A_cF8_227_a.A__Zr54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Zr,54,1236,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Zr54_n54
POCC__fcc__POCC_01_H0C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_01_H0C0,0,,135,263,dataset/canonical/POCC/aimd/POCC__fcc__POCC_01_H0C0__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_02_H0C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_02_H0C1,0,,135,233,dataset/canonical/POCC/aimd/POCC__fcc__POCC_02_H0C1__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_03_H0C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_03_H0C2,0,,135,363,dataset/canonical/POCC/aimd/POCC__fcc__POCC_03_H0C2__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_04_H0C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_04_H0C3,0,,135,348,dataset/canonical/POCC/aimd/POCC__fcc__POCC_04_H0C3__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_05_H0C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_05_H0C4,0,,135,239,dataset/canonical/POCC/aimd/POCC__fcc__POCC_05_H0C4__Hf27_Mo27_Ta27_Ti27_Zr27_n135
POCC__fcc__POCC_06_H0C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135,pocc_ood_test,bcc_to_fcc,POCC,aimd,fcc,POCC_06_H0C5,0,,135,218,dataset/canonical/POCC/aimd/POCC__fcc__POCC_06_H0C5__Hf27_Mo27_Ta27_Ti27_Zr27_n135
