system_id,evaluation_role,evaluation_fold,family,variant,parent_family,structure,hnf_group,element,natoms,frames,path
PURE__A_cF8_227_a.A__Hf54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Hf,54,2997,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Hf54_n54
PURE__A_cF8_227_a.A__Mo54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Mo,54,1477,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Mo54_n54
PURE__A_cF8_227_a.A__Ta54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Ta,54,1389,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Ta54_n54
PURE__A_cF8_227_a.A__Ti54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Ti,54,544,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Ti54_n54
PURE__A_cF8_227_a.A__Zr54_n54,pure_test,shared,PURE,aimd,pure,A_cF8_227_a.A,,Zr,54,1236,dataset/canonical/PURE/aimd/PURE__A_cF8_227_a.A__Zr54_n54
POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_01_H0C0,0,,160,42,dataset/canonical/POCC/aimd/POCC__bcc__POCC_01_H0C0__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_02_H0C1,0,,160,51,dataset/canonical/POCC/aimd/POCC__bcc__POCC_02_H0C1__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_03_H0C2,0,,160,49,dataset/canonical/POCC/aimd/POCC__bcc__POCC_03_H0C2__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_04_H0C3,0,,160,51,dataset/canonical/POCC/aimd/POCC__bcc__POCC_04_H0C3__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_05_H0C4,0,,160,2,dataset/canonical/POCC/aimd/POCC__bcc__POCC_05_H0C4__Hf32_Mo32_Ta32_Ti32_Zr32_n160
POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160,pocc_ood_test,fcc_to_bcc,POCC,aimd,bcc,POCC_06_H0C5,0,,160,48,dataset/canonical/POCC/aimd/POCC__bcc__POCC_06_H0C5__Hf32_Mo32_Ta32_Ti32_Zr32_n160
